region_bld,year,value
C-WEU-BEL,2100,0.29932851951189166
C-WEU-CYP,2010,0.38306485466192775
C-WEU-CYP,2015,0.39918435826300813
C-WEU-CYP,2020,0.4135572181220811
C-WEU-CYP,2025,0.42674156276235947
C-WEU-CYP,2030,0.4386619644187525
C-WEU-CYP,2035,0.44924983931733425
C-WEU-CYP,2040,0.4584415081389882
C-WEU-CYP,2045,0.466176993358655
C-WEU-CYP,2050,0.47239935543517725
C-WEU-CYP,2055,0.47705445171094185
C-WEU-CYP,2060,0.48009105632281934
C-WEU-CYP,2065,0.4814613190713153
C-WEU-CYP,2070,0.48112157388972165
C-WEU-CYP,2075,0.47903353883750216
C-WEU-CYP,2080,0.47516598414022926
C-WEU-CYP,2085,0.46949698773909687
C-WEU-CYP,2090,0.46201695552375727
C-WEU-CYP,2095,0.4527326651683942
C-WEU-CYP,2100,0.4416727126035814
C-WEU-DEU,2010,0.35346765569884714
C-WEU-DEU,2015,0.35583832735072934
C-WEU-DEU,2020,0.3556244605384092
C-WEU-DEU,2025,0.3541682495363141
C-WEU-DEU,2030,0.3516133022442658
C-WEU-DEU,2035,0.3481082708619234
C-WEU-DEU,2040,0.343805012420926
C-WEU-DEU,2045,0.3388571403636785
C-WEU-DEU,2050,0.3334188597696479
C-WEU-DEU,2055,0.3276440248939434
C-WEU-DEU,2060,0.32168539191325307
C-WEU-DEU,2065,0.3156940669538578
C-WEU-DEU,2070,0.3098191718333678
C-WEU-DEU,2075,0.3042077677574198
C-WEU-DEU,2080,0.29900508907066964
C-WEU-DEU,2085,0.2943551422152736
C-WEU-DEU,2090,0.290401715452306
C-WEU-DEU,2095,0.28728981873291587
C-WEU-DEU,2100,0.2851675279173809
C-WEU-DNK,2010,0.31268870061503296
C-WEU-DNK,2015,0.32346350366013743
C-WEU-DNK,2020,0.3352395923812652
C-WEU-DNK,2025,0.34556267800324286
C-WEU-DNK,2030,0.35451737875004863
C-WEU-DNK,2035,0.3622275082262513
C-WEU-DNK,2040,0.3688454124021702
C-WEU-DNK,2045,0.3745443327947459
C-WEU-DNK,2050,0.37951290061453136
C-WEU-DNK,2055,0.38395118891608043
C-WEU-DNK,2060,0.3880679524628659
C-WEU-DNK,2065,0.39207881355614316
C-WEU-DNK,2070,0.396205232291872
C-WEU-DNK,2075,0.4006741465092723
C-WEU-DNK,2080,0.4057181889916079
C-WEU-DNK,2085,0.41157639313746197
C-WEU-DNK,2090,0.41849528803723285
C-WEU-DNK,2095,0.42673026441623757
C-WEU-DNK,2100,0.43654706971988616
C-WEU-ESP,2010,1.1729497346836144
C-WEU-ESP,2015,1.1008612250882728
C-WEU-ESP,2020,1.1291849010334216
C-WEU-ESP,2025,1.153532799441517
C-WEU-ESP,2030,1.1740773663934814
C-WEU-ESP,2035,1.1909970440518063
C-WEU-ESP,2040,1.2044745096868996
C-WEU-ESP,2045,1.2146954713004594
C-WEU-ESP,2050,1.2218479123979777
C-WEU-ESP,2055,1.2261217181302668
C-WEU-ESP,2060,1.2277086436377667
C-WEU-ESP,2065,1.2268026070145375
C-WEU-ESP,2070,1.223600306463805
C-WEU-ESP,2075,1.218302175671196
C-WEU-ESP,2080,1.211113704352846
C-WEU-ESP,2085,1.2022471631666714
C-WEU-ESP,2090,1.191923784294405
C-WEU-ESP,2095,1.1803764614319243
C-WEU-ESP,2100,1.167853045960695
C-WEU-FIN,2010,0.2594499573656105
C-WEU-FIN,2015,0.26297152227555426
C-WEU-FIN,2020,0.2653519092106043
C-WEU-FIN,2025,0.26681787340576263
C-WEU-FIN,2030,0.2674925064645272
C-WEU-FIN,2035,0.2674995449445494
C-WEU-FIN,2040,0.2669630786259504
C-WEU-FIN,2045,0.26600732219817996
C-WEU-FIN,2050,0.26475643490195716
C-WEU-FIN,2055,0.2633343807089817
C-WEU-FIN,2060,0.26186482746680095
C-WEU-FIN,2065,0.26047108774903566
C-WEU-FIN,2070,0.25927610710448995
C-WEU-FIN,2075,0.25840250682256743
C-WEU-FIN,2080,0.2579726878455023
C-WEU-FIN,2085,0.2581089996287638
C-WEU-FIN,2090,0.25893397231618354
C-WEU-FIN,2095,0.260570602722412
