year,region_bld,clim,arch,urt,value
2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,rur,0.559
2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,urb,0.557
2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,rur,0.165
2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,urb,0.135
2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,rur,0.262
2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,urb,0.187
2020,C-EEU-EST,Zone_6A Cold Humid,mfh,rur,0.292
2020,C-EEU-EST,Zone_6A Cold Humid,mfh,urb,0.223
2020,C-EEU-EST,Zone_6A Cold Humid,sfh,rur,0.282
2020,C-EEU-EST,Zone_6A Cold Humid,sfh,urb,0.236
2020,C-EEU-HRV,Zone_3A Warm Humid,mfh,rur,0.547
2020,C-EEU-HRV,Zone_3A Warm Humid,sfh,rur,0.585
2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,rur,0.337
2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,urb,0.333
2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,rur,0.397
2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,urb,0.384
2020,C-EEU-HRV,Zone_4C Mixed Marine,mfh,rur,0.635
2020,C-EEU-HRV,Zone_4C Mixed Marine,sfh,rur,0.59
2020,C-EEU-HRV,Zone_5A Cool Humid,mfh,rur,0.701
2020,C-EEU-HRV,Zone_5A Cool Humid,sfh,rur,0.632
2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,rur,0.23
2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,urb,0.17
2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,rur,0.131
2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,urb,0.082
2020,C-EEU-HUN,Zone_5A Cool Humid,mfh,rur,0.15
2020,C-EEU-HUN,Zone_5A Cool Humid,mfh,urb,0.122
2020,C-EEU-HUN,Zone_5A Cool Humid,sfh,rur,0.097
2020,C-EEU-HUN,Zone_5A Cool Humid,sfh,urb,0.101
2020,C-EEU-LTU,Zone_5A Cool Humid,mfh,rur,0.187
2020,C-EEU-LTU,Zone_5A Cool Humid,mfh,urb,0.166
2020,C-EEU-LTU,Zone_5A Cool Humid,sfh,rur,0.131
2020,C-EEU-LTU,Zone_5A Cool Humid,sfh,urb,0.098
2020,C-EEU-LTU,Zone_6A Cold Humid,mfh,rur,0.143
2020,C-EEU-LTU,Zone_6A Cold Humid,mfh,urb,0.143
2020,C-EEU-LTU,Zone_6A Cold Humid,sfh,rur,0.12
2020,C-EEU-LTU,Zone_6A Cold Humid,sfh,urb,0.186
2020,C-EEU-LVA,Zone_6A Cold Humid,mfh,rur,0.232
2020,C-EEU-LVA,Zone_6A Cold Humid,mfh,urb,0.193
2020,C-EEU-LVA,Zone_6A Cold Humid,sfh,rur,0.307
2020,C-EEU-LVA,Zone_6A Cold Humid,sfh,urb,0.345
2020,C-EEU-POL,Zone_5A Cool Humid,mfh,rur,0.19
2020,C-EEU-POL,Zone_5A Cool Humid,mfh,urb,0.207
2020,C-EEU-POL,Zone_5A Cool Humid,sfh,rur,0.15
2020,C-EEU-POL,Zone_5A Cool Humid,sfh,urb,0.132
2020,C-EEU-POL,Zone_6A Cold Humid,mfh,rur,0.378
2020,C-EEU-POL,Zone_6A Cold Humid,mfh,urb,0.264
2020,C-EEU-POL,Zone_6A Cold Humid,sfh,rur,0.175
2020,C-EEU-POL,Zone_6A Cold Humid,sfh,urb,0.164
2020,C-EEU-ROU,Zone_4A Mixed Humid,mfh,rur,0.295
2020,C-EEU-ROU,Zone_4A Mixed Humid,mfh,urb,0.233
2020,C-EEU-ROU,Zone_4A Mixed Humid,sfh,rur,0.277
2020,C-EEU-ROU,Zone_4A Mixed Humid,sfh,urb,0.256
2020,C-EEU-ROU,Zone_5A Cool Humid,mfh,rur,0.257
2020,C-EEU-ROU,Zone_5A Cool Humid,mfh,urb,0.232
2020,C-EEU-ROU,Zone_5A Cool Humid,sfh,rur,0.269
2020,C-EEU-ROU,Zone_5A Cool Humid,sfh,urb,0.264
2020,C-EEU-ROU,Zone_6A Cold Humid,mfh,rur,0.246
2020,C-EEU-ROU,Zone_6A Cold Humid,sfh,rur,0.234
2020,C-EEU-SVK,Zone_5A Cool Humid,mfh,rur,0.191
2020,C-EEU-SVK,Zone_5A Cool Humid,mfh,urb,0.206
2020,C-EEU-SVK,Zone_5A Cool Humid,sfh,rur,0.228
2020,C-EEU-SVK,Zone_5A Cool Humid,sfh,urb,0.231
2020,C-EEU-SVK,Zone_6A Cold Humid,mfh,rur,0.168
2020,C-EEU-SVK,Zone_6A Cold Humid,mfh,urb,0.19
2020,C-EEU-SVK,Zone_6A Cold Humid,sfh,rur,0.198
2020,C-EEU-SVK,Zone_6A Cold Humid,sfh,urb,0.232
2020,C-EEU-SVN,Zone_4A Mixed Humid,mfh,rur,0.193
