region_bld,clim,inc_cl,year,urt,region_nuts,value
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG315,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG321,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG321,0.05395308
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,rur,C-EEU-BGR-BG322,0.01389072
C-EEU-BGR,Zone_5A Cool Humid,q1,2015,urb,C-EEU-BGR-BG322,0.02691767
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG323,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG323,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG324,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG324,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG325,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG325,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG331,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG331,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG332,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG332,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG333,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG333,0.05395308
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,rur,C-EEU-BGR-BG334,0.0278422
C-EEU-BGR,Zone_4A Mixed Humid,q1,2015,urb,C-EEU-BGR-BG334,0.05395308
