region_gea,arch,material,year,value
FSU,mfh,concrete,2100,957.3357732
FSU,mfh,copper,2015,0.1749484535
FSU,mfh,copper,2020,0.1749484535
FSU,mfh,copper,2025,0.1749484535
FSU,mfh,copper,2030,0.1749484535
FSU,mfh,copper,2035,0.1749484535
FSU,mfh,copper,2040,0.1749484535
FSU,mfh,copper,2045,0.1749484535
FSU,mfh,copper,2050,0.1749484535
FSU,mfh,copper,2055,0.1749484535
FSU,mfh,copper,2060,0.1749484535
FSU,mfh,copper,2065,0.1749484535
FSU,mfh,copper,2070,0.1749484535
FSU,mfh,copper,2075,0.1749484535
FSU,mfh,copper,2080,0.1749484535
FSU,mfh,copper,2085,0.1749484535
FSU,mfh,copper,2090,0.1749484535
FSU,mfh,copper,2095,0.1749484535
FSU,mfh,copper,2100,0.1749484535
FSU,mfh,glass,2015,5.481168385
FSU,mfh,glass,2020,5.481168385
FSU,mfh,glass,2025,5.481168385
FSU,mfh,glass,2030,5.481168385
FSU,mfh,glass,2035,5.481168385
FSU,mfh,glass,2040,5.481168385
FSU,mfh,glass,2045,5.481168385
FSU,mfh,glass,2050,5.481168385
FSU,mfh,glass,2055,5.481168385
FSU,mfh,glass,2060,5.481168385
FSU,mfh,glass,2065,5.481168385
FSU,mfh,glass,2070,5.481168385
FSU,mfh,glass,2075,5.481168385
FSU,mfh,glass,2080,5.481168385
FSU,mfh,glass,2085,5.481168385
FSU,mfh,glass,2090,5.481168385
FSU,mfh,glass,2095,5.481168385
FSU,mfh,glass,2100,5.481168385
FSU,mfh,steel,2015,106.19237115
FSU,mfh,steel,2020,106.19237115
FSU,mfh,steel,2025,106.19237115
FSU,mfh,steel,2030,106.19237115
FSU,mfh,steel,2035,106.19237115
FSU,mfh,steel,2040,106.19237115
FSU,mfh,steel,2045,106.19237115
FSU,mfh,steel,2050,106.19237115
FSU,mfh,steel,2055,106.19237115
FSU,mfh,steel,2060,106.19237115
FSU,mfh,steel,2065,106.19237115
FSU,mfh,steel,2070,106.19237115
FSU,mfh,steel,2075,106.19237115
FSU,mfh,steel,2080,106.19237115
FSU,mfh,steel,2085,106.19237115
FSU,mfh,steel,2090,106.19237115
FSU,mfh,steel,2095,106.19237115
FSU,mfh,steel,2100,106.19237115
FSU,mfh,wood,2015,44.962474224999994
FSU,mfh,wood,2020,44.962474224999994
FSU,mfh,wood,2025,44.962474224999994
FSU,mfh,wood,2030,44.962474224999994
FSU,mfh,wood,2035,44.962474224999994
FSU,mfh,wood,2040,44.962474224999994
FSU,mfh,wood,2045,44.962474224999994
FSU,mfh,wood,2050,44.962474224999994
FSU,mfh,wood,2055,44.962474224999994
FSU,mfh,wood,2060,44.962474224999994
FSU,mfh,wood,2065,44.962474224999994
FSU,mfh,wood,2070,44.962474224999994
FSU,mfh,wood,2075,44.962474224999994
FSU,mfh,wood,2080,44.962474224999994
FSU,mfh,wood,2085,44.962474224999994
FSU,mfh,wood,2090,44.962474224999994
FSU,mfh,wood,2095,44.962474224999994
FSU,mfh,wood,2100,44.962474224999994
FSU,sfh,aluminum,2015,2.8656694560000004
FSU,sfh,aluminum,2020,2.8656694560000004
FSU,sfh,aluminum,2025,2.8656694560000004
FSU,sfh,aluminum,2030,2.8656694560000004
FSU,sfh,aluminum,2035,2.8656694560000004
FSU,sfh,aluminum,2040,2.8656694560000004
FSU,sfh,aluminum,2045,2.8656694560000004
FSU,sfh,aluminum,2050,2.8656694560000004
FSU,sfh,aluminum,2055,2.8656694560000004
FSU,sfh,aluminum,2060,2.8656694560000004
FSU,sfh,aluminum,2065,2.8656694560000004
FSU,sfh,aluminum,2070,2.8656694560000004
FSU,sfh,aluminum,2075,2.8656694560000004
FSU,sfh,aluminum,2080,2.8656694560000004
FSU,sfh,aluminum,2085,2.8656694560000004
FSU,sfh,aluminum,2090,2.8656694560000004
FSU,sfh,aluminum,2095,2.8656694560000004
FSU,sfh,aluminum,2100,2.8656694560000004
FSU,sfh,concrete,2015,921.7680753
FSU,sfh,concrete,2020,921.7680753
FSU,sfh,concrete,2025,921.7680753
FSU,sfh,concrete,2030,921.7680753
FSU,sfh,concrete,2035,921.7680753
FSU,sfh,concrete,2040,921.7680753
FSU,sfh,concrete,2045,921.7680753
FSU,sfh,concrete,2050,921.7680753
FSU,sfh,concrete,2055,921.7680753
FSU,sfh,concrete,2060,921.7680753
FSU,sfh,concrete,2065,921.7680753
FSU,sfh,concrete,2070,921.7680753
FSU,sfh,concrete,2075,921.7680753
FSU,sfh,concrete,2080,921.7680753
FSU,sfh,concrete,2085,921.7680753
FSU,sfh,concrete,2090,921.7680753
FSU,sfh,concrete,2095,921.7680753
FSU,sfh,concrete,2100,921.7680753
FSU,sfh,copper,2015,1.3713668065000002
FSU,sfh,copper,2020,1.3713668065000002
FSU,sfh,copper,2025,1.3713668065000002
FSU,sfh,copper,2030,1.3713668065000002
FSU,sfh,copper,2035,1.3713668065000002
FSU,sfh,copper,2040,1.3713668065000002
FSU,sfh,copper,2045,1.3713668065000002
FSU,sfh,copper,2050,1.3713668065000002
FSU,sfh,copper,2055,1.3713668065000002
FSU,sfh,copper,2060,1.3713668065000002
FSU,sfh,copper,2065,1.3713668065000002
FSU,sfh,copper,2070,1.3713668065000002
FSU,sfh,copper,2075,1.3713668065000002
FSU,sfh,copper,2080,1.3713668065000002
FSU,sfh,copper,2085,1.3713668065000002
FSU,sfh,copper,2090,1.3713668065000002
FSU,sfh,copper,2095,1.3713668065000002
FSU,sfh,copper,2100,1.3713668065000002
FSU,sfh,glass,2015,2.34430265
FSU,sfh,glass,2020,2.34430265
FSU,sfh,glass,2025,2.34430265
FSU,sfh,glass,2030,2.34430265
FSU,sfh,glass,2035,2.34430265
FSU,sfh,glass,2040,2.34430265
FSU,sfh,glass,2045,2.34430265
FSU,sfh,glass,2050,2.34430265
FSU,sfh,glass,2055,2.34430265
FSU,sfh,glass,2060,2.34430265
FSU,sfh,glass,2065,2.34430265
FSU,sfh,glass,2070,2.34430265
FSU,sfh,glass,2075,2.34430265
FSU,sfh,glass,2080,2.34430265
FSU,sfh,glass,2085,2.34430265
FSU,sfh,glass,2090,2.34430265
FSU,sfh,glass,2095,2.34430265
FSU,sfh,glass,2100,2.34430265
FSU,sfh,steel,2015,32.684211995
FSU,sfh,steel,2020,32.684211995
FSU,sfh,steel,2025,32.684211995
FSU,sfh,steel,2030,32.684211995
FSU,sfh,steel,2035,32.684211995
FSU,sfh,steel,2040,32.684211995
FSU,sfh,steel,2045,32.684211995
FSU,sfh,steel,2050,32.684211995
FSU,sfh,steel,2055,32.684211995
FSU,sfh,steel,2060,32.684211995
FSU,sfh,steel,2065,32.684211995
FSU,sfh,steel,2070,32.684211995
FSU,sfh,steel,2075,32.684211995
FSU,sfh,steel,2080,32.684211995
FSU,sfh,steel,2085,32.684211995
FSU,sfh,steel,2090,32.684211995
FSU,sfh,steel,2095,32.684211995
FSU,sfh,steel,2100,32.684211995
FSU,sfh,wood,2015,49.296011160000006
FSU,sfh,wood,2020,49.296011160000006
FSU,sfh,wood,2025,49.296011160000006
FSU,sfh,wood,2030,49.296011160000006
FSU,sfh,wood,2035,49.296011160000006
FSU,sfh,wood,2040,49.296011160000006
FSU,sfh,wood,2045,49.296011160000006
FSU,sfh,wood,2050,49.296011160000006
FSU,sfh,wood,2055,49.296011160000006
FSU,sfh,wood,2060,49.296011160000006
FSU,sfh,wood,2065,49.296011160000006
FSU,sfh,wood,2070,49.296011160000006
FSU,sfh,wood,2075,49.296011160000006
FSU,sfh,wood,2080,49.296011160000006
FSU,sfh,wood,2085,49.296011160000006
FSU,sfh,wood,2090,49.296011160000006
FSU,sfh,wood,2095,49.296011160000006
FSU,sfh,wood,2100,49.296011160000006
LAC,mfh,aluminum,2015,2.0570446735
LAC,mfh,aluminum,2020,2.0570446735
LAC,mfh,aluminum,2025,2.0570446735
LAC,mfh,aluminum,2030,2.0570446735
LAC,mfh,aluminum,2035,2.0570446735
LAC,mfh,aluminum,2040,2.0570446735
LAC,mfh,aluminum,2045,2.0570446735
LAC,mfh,aluminum,2050,2.0570446735
LAC,mfh,aluminum,2055,2.0570446735
LAC,mfh,aluminum,2060,2.0570446735
