region_bld,urt,clim
C-WEU-ITA,urb,Zone_6A Cold Humid
C-WEU-ITA,sub,Zone_6A Cold Humid
C-WEU-ITA,rur,Zone_3A Warm Humid
C-WEU-ITA,urb,Zone_3A Warm Humid
C-WEU-ITA,sub,Zone_3A Warm Humid
C-WEU-ITA,rur,Zone_4C Mixed Marine
C-WEU-ITA,urb,Zone_4C Mixed Marine
C-WEU-ITA,sub,Zone_4C Mixed Marine
C-WEU-ITA,rur,Zone_5C Cool Marine
C-WEU-ITA,urb,Zone_5C Cool Marine
C-WEU-ITA,sub,Zone_5C Cool Marine
C-EEU-LTU,sub,Zone_6A Cold Humid
C-EEU-LTU,urb,Zone_6A Cold Humid
C-EEU-LTU,rur,Zone_6A Cold Humid
C-EEU-LTU,sub,Zone_5A Cool Humid
C-EEU-LTU,urb,Zone_5A Cool Humid
C-EEU-LTU,rur,Zone_5A Cool Humid
C-WEU-LUX,urb,Zone_5A Cool Humid
C-WEU-LUX,rur,Zone_5A Cool Humid
C-WEU-LUX,sub,Zone_5A Cool Humid
C-EEU-LVA,sub,Zone_6A Cold Humid
C-EEU-LVA,rur,Zone_6A Cold Humid
C-EEU-LVA,urb,Zone_6A Cold Humid
C-WEU-MLT,rur,Zone_3A Warm Humid
C-WEU-MLT,sub,Zone_3A Warm Humid
C-WEU-MLT,urb,Zone_3A Warm Humid
C-WEU-NLD,rur,Zone_5A Cool Humid
C-WEU-NLD,urb,Zone_5A Cool Humid
C-WEU-NLD,sub,Zone_5A Cool Humid
C-WEU-NLD,rur,Zone_4A Mixed Humid
C-WEU-NLD,urb,Zone_4A Mixed Humid
C-WEU-NLD,sub,Zone_4A Mixed Humid
C-EEU-POL,rur,Zone_5A Cool Humid
C-EEU-POL,sub,Zone_5A Cool Humid
C-EEU-POL,urb,Zone_5A Cool Humid
C-EEU-POL,rur,Zone_6A Cold Humid
C-EEU-POL,sub,Zone_6A Cold Humid
C-EEU-POL,urb,Zone_6A Cold Humid
C-WEU-PRT,sub,Zone_3C Warm Marine
C-WEU-PRT,urb,Zone_3C Warm Marine
C-WEU-PRT,rur,Zone_3C Warm Marine
C-WEU-PRT,sub,Zone_4C Mixed Marine
C-WEU-PRT,urb,Zone_4C Mixed Marine
C-WEU-PRT,rur,Zone_4C Mixed Marine
C-WEU-PRT,sub,Zone_4A Mixed Humid
C-WEU-PRT,urb,Zone_4A Mixed Humid
C-WEU-PRT,rur,Zone_4A Mixed Humid
C-WEU-PRT,sub,Zone_3A Warm Humid
C-WEU-PRT,urb,Zone_3A Warm Humid
C-WEU-PRT,rur,Zone_3A Warm Humid
C-EEU-ROU,urb,Zone_5A Cool Humid
C-EEU-ROU,sub,Zone_5A Cool Humid
C-EEU-ROU,rur,Zone_5A Cool Humid
C-EEU-ROU,urb,Zone_6A Cold Humid
C-EEU-ROU,sub,Zone_6A Cold Humid
C-EEU-ROU,rur,Zone_6A Cold Humid
C-EEU-ROU,urb,Zone_4A Mixed Humid
C-EEU-ROU,sub,Zone_4A Mixed Humid
C-EEU-ROU,rur,Zone_4A Mixed Humid
C-WEU-SWE,sub,Zone_6A Cold Humid
C-WEU-SWE,urb,Zone_6A Cold Humid
C-WEU-SWE,rur,Zone_6A Cold Humid
C-WEU-SWE,sub,Zone_5A Cool Humid
C-WEU-SWE,urb,Zone_5A Cool Humid
C-WEU-SWE,rur,Zone_5A Cool Humid
C-WEU-SWE,sub,Zone_7A Very cold Humid
C-WEU-SWE,urb,Zone_7A Very cold Humid
C-WEU-SWE,rur,Zone_7A Very cold Humid
C-WEU-SWE,sub,Zone_8A Subarctic/arctic Humid
C-WEU-SWE,urb,Zone_8A Subarctic/arctic Humid
C-WEU-SWE,rur,Zone_8A Subarctic/arctic Humid
C-EEU-SVN,rur,Zone_4A Mixed Humid
C-EEU-SVN,urb,Zone_4A Mixed Humid
C-EEU-SVN,sub,Zone_4A Mixed Humid
C-EEU-SVN,rur,Zone_5A Cool Humid
C-EEU-SVN,urb,Zone_5A Cool Humid
C-EEU-SVN,sub,Zone_5A Cool Humid
C-EEU-SVN,rur,Zone_7A Very cold Humid
C-EEU-SVN,urb,Zone_7A Very cold Humid
C-EEU-SVN,sub,Zone_7A Very cold Humid
C-EEU-SVK,urb,Zone_5A Cool Humid
C-EEU-SVK,rur,Zone_5A Cool Humid
C-EEU-SVK,sub,Zone_5A Cool Humid
C-EEU-SVK,urb,Zone_6A Cold Humid
C-EEU-SVK,rur,Zone_6A Cold Humid
C-EEU-SVK,sub,Zone_6A Cold Humid
