region_bld,clim,arch,eneff,urt,region_nuts,value
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE345,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE345,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE351,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE351,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE352,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE352,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,rur,C-WEU-BEL-BE353,1.0
C-WEU-BEL,Zone_5A Cool Humid,inf,ns,urb,C-WEU-BEL-BE353,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG311,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG311,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG312,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG312,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG313,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG313,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG314,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG314,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG315,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG315,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG321,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG321,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,rur,C-EEU-BGR-BG322,1.0
C-EEU-BGR,Zone_5A Cool Humid,inf,ns,urb,C-EEU-BGR-BG322,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG323,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG323,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG324,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG324,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG325,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG325,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG331,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG331,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG332,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG332,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG333,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,urb,C-EEU-BGR-BG333,1.0
C-EEU-BGR,Zone_4A Mixed Humid,inf,ns,rur,C-EEU-BGR-BG334,1.0
