region_bld,region_nuts,urt,clim,year,value
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2090,0.04291658478201843
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2095,0.006765272507276202
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2095,0.042516727492723796
C-WEU-PRT,C-WEU-PRT-PT1C3,rur,Zone_3A Warm Humid,2100,0.006293375014820532
C-WEU-PRT,C-WEU-PRT-PT1C3,urb,Zone_3A Warm Humid,2100,0.04229362498517947
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2020,0.05459140729271361
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2020,0.09679359270728638
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2025,0.04819959328579011
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2025,0.09508840671420989
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2030,0.042579080101682466
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2030,0.09305691989831755
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2035,0.03773978907129911
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2035,0.0910042109287009
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2040,0.03349574753613531
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2040,0.0887842524638647
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2045,0.02969314937205103
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2045,0.08621985062794897
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2050,0.026290098249442225
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2050,0.08335690175055777
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2055,0.023255037669735665
C-WEU-PRT,C-WEU-PRT-PT1C4,urb,Zone_3A Warm Humid,2055,0.08027996233026434
C-WEU-PRT,C-WEU-PRT-PT1C4,rur,Zone_3A Warm Humid,2060,0.020581223386527084
