region_bld,inc_cl,year,value
C-EEU-POL,q1,2095,0.22437705
C-EEU-POL,q1,2100,0.227109
C-EEU-POL,q2,2015,0.134549765
C-EEU-POL,q2,2020,0.1613266
C-EEU-POL,q2,2025,0.18310105
C-EEU-POL,q2,2030,0.19978800000000002
C-EEU-POL,q2,2035,0.20973375
C-EEU-POL,q2,2040,0.21889075
C-EEU-POL,q2,2045,0.2239662
C-EEU-POL,q2,2050,0.22684674999999999
C-EEU-POL,q2,2055,0.2287244
C-EEU-POL,q2,2060,0.2299952
C-EEU-POL,q2,2065,0.2309435
C-EEU-POL,q2,2070,0.23156715
C-EEU-POL,q2,2075,0.23186345
C-EEU-POL,q2,2080,0.23207065
C-EEU-POL,q2,2085,0.2321332
C-EEU-POL,q2,2090,0.23217120000000002
C-EEU-POL,q2,2095,0.23219495
C-EEU-POL,q2,2100,0.2322071
C-EEU-POL,q3,2015,0.22676795
C-EEU-POL,q3,2020,0.2304131
C-EEU-POL,q3,2025,0.23167775
C-EEU-POL,q3,2030,0.23210005
C-EEU-POL,q3,2035,0.23217664999999996
C-EEU-POL,q3,2040,0.23220190000000002
C-EEU-POL,q3,2045,0.23221144999999999
C-EEU-POL,q3,2050,0.23221395
C-EEU-POL,q3,2055,0.2322146
C-EEU-POL,q3,2060,0.23221505
C-EEU-POL,q3,2065,0.23221515
C-EEU-POL,q3,2070,0.2322152
C-EEU-POL,q3,2075,0.2322152
C-EEU-POL,q3,2080,0.2322152
C-EEU-POL,q3,2085,0.2322152
C-EEU-POL,q3,2090,0.2322152
C-EEU-POL,q3,2095,0.2322152
C-EEU-POL,q3,2100,0.2322152
C-EEU-ROU,q1,2015,0.02535648583333333
C-EEU-ROU,q1,2020,0.033960263666666664
C-EEU-ROU,q1,2025,0.04891360533333333
C-EEU-ROU,q1,2030,0.06474842
C-EEU-ROU,q1,2035,0.08689215
C-EEU-ROU,q1,2040,0.10515891999999999
C-EEU-ROU,q1,2045,0.13038372499999998
C-EEU-ROU,q1,2050,0.15214780333333336
C-EEU-ROU,q1,2055,0.17479744666666666
C-EEU-ROU,q1,2060,0.19765138000000002
C-EEU-ROU,q1,2065,0.217679285
C-EEU-ROU,q1,2070,0.23672285999999998
C-EEU-ROU,q1,2075,0.254416565
C-EEU-ROU,q1,2080,0.26863948
C-EEU-ROU,q1,2085,0.2788057116666667
C-EEU-ROU,q1,2090,0.28771942666666667
C-EEU-ROU,q1,2095,0.29308828000000003
C-EEU-ROU,q1,2100,0.29697374
C-EEU-ROU,q2,2015,0.06577232000000001
C-EEU-ROU,q2,2020,0.09705592333333334
C-EEU-ROU,q2,2025,0.13620321333333332
C-EEU-ROU,q2,2030,0.17018188499999998
C-EEU-ROU,q2,2035,0.19955361666666668
C-EEU-ROU,q2,2040,0.22172309999999998
C-EEU-ROU,q2,2045,0.24192117666666665
C-EEU-ROU,q2,2050,0.25781813666666664
C-EEU-ROU,q2,2055,0.27189853999999997
C-EEU-ROU,q2,2060,0.28430234000000004
C-EEU-ROU,q2,2065,0.2917404083333333
C-EEU-ROU,q2,2070,0.2965792916666667
C-EEU-ROU,q2,2075,0.29946234833333335
C-EEU-ROU,q2,2080,0.3009779266666667
C-EEU-ROU,q2,2085,0.301719695
C-EEU-ROU,q2,2090,0.3020913416666667
C-EEU-ROU,q2,2095,0.302275505
C-EEU-ROU,q2,2100,0.302357995
C-EEU-ROU,q3,2015,0.18182435666666666
C-EEU-ROU,q3,2020,0.22200972
C-EEU-ROU,q3,2025,0.254935505
C-EEU-ROU,q3,2030,0.2770767433333334
C-EEU-ROU,q3,2035,0.28957066833333334
C-EEU-ROU,q3,2040,0.29573217333333335
C-EEU-ROU,q3,2045,0.299187075
C-EEU-ROU,q3,2050,0.300932175
C-EEU-ROU,q3,2055,0.3017689116666667
C-EEU-ROU,q3,2060,0.30217996666666663
C-EEU-ROU,q3,2065,0.30232544333333333
C-EEU-ROU,q3,2070,0.302397775
C-EEU-ROU,q3,2075,0.30242016666666666
C-EEU-ROU,q3,2080,0.30242795166666664
C-EEU-ROU,q3,2085,0.302429825
C-EEU-ROU,q3,2090,0.302430435
C-EEU-ROU,q3,2095,0.302430715
C-EEU-ROU,q3,2100,0.3024307883333333
C-EEU-SVK,q1,2015,0.0620326
C-EEU-SVK,q1,2020,0.0782225725
C-EEU-SVK,q1,2025,0.09231803499999999
C-EEU-SVK,q1,2030,0.10611162
C-EEU-SVK,q1,2035,0.1193230925
C-EEU-SVK,q1,2040,0.12959006
C-EEU-SVK,q1,2045,0.1390047825
C-EEU-SVK,q1,2050,0.1451041725
C-EEU-SVK,q1,2055,0.1533952875
C-EEU-SVK,q1,2060,0.15825219499999998
C-EEU-SVK,q1,2065,0.16571303250000002
C-EEU-SVK,q1,2070,0.170540665
C-EEU-SVK,q1,2075,0.1773284625
C-EEU-SVK,q1,2080,0.1796385275
C-EEU-SVK,q1,2085,0.18165153
C-EEU-SVK,q1,2090,0.18423698249999998
C-EEU-SVK,q1,2095,0.1854177525
C-EEU-SVK,q1,2100,0.1866388225
C-EEU-SVK,q2,2015,0.1382089075
C-EEU-SVK,q2,2020,0.1586765375
C-EEU-SVK,q2,2025,0.1737090475
C-EEU-SVK,q2,2030,0.184567725
C-EEU-SVK,q2,2035,0.1916402375
C-EEU-SVK,q2,2040,0.19648045
C-EEU-SVK,q2,2045,0.19894685
C-EEU-SVK,q2,2050,0.199894825
C-EEU-SVK,q2,2055,0.20077547499999998
C-EEU-SVK,q2,2060,0.20103142499999999
C-EEU-SVK,q2,2065,0.20122009999999999
C-EEU-SVK,q2,2070,0.2012938
C-EEU-SVK,q2,2075,0.20132930000000002
C-EEU-SVK,q2,2080,0.201338425
C-EEU-SVK,q2,2085,0.20134517500000002
C-EEU-SVK,q2,2090,0.201346875
C-EEU-SVK,q2,2095,0.20134775
C-EEU-SVK,q2,2100,0.20134797499999998
C-EEU-SVK,q3,2015,0.194651175
C-EEU-SVK,q3,2020,0.19952324999999999
C-EEU-SVK,q3,2025,0.200870375
C-EEU-SVK,q3,2030,0.20124855
C-EEU-SVK,q3,2035,0.20133162500000001
C-EEU-SVK,q3,2040,0.20134615
C-EEU-SVK,q3,2045,0.20134797499999998
C-EEU-SVK,q3,2050,0.2013482
C-EEU-SVK,q3,2055,0.201348225
C-EEU-SVK,q3,2060,0.20134825
C-EEU-SVK,q3,2065,0.20134825
C-EEU-SVK,q3,2070,0.20134825
C-EEU-SVK,q3,2075,0.20134825
C-EEU-SVK,q3,2080,0.20134825
C-EEU-SVK,q3,2085,0.20134825
C-EEU-SVK,q3,2090,0.20134825
C-EEU-SVK,q3,2095,0.20134825
C-EEU-SVK,q3,2100,0.20134825
C-EEU-SVN,q1,2015,0.07203482
C-EEU-SVN,q1,2020,0.083952845
C-EEU-SVN,q1,2025,0.093572175
C-EEU-SVN,q1,2030,0.10479315
C-EEU-SVN,q1,2035,0.114832515
C-EEU-SVN,q1,2040,0.124170475
C-EEU-SVN,q1,2045,0.13169975
C-EEU-SVN,q1,2050,0.1386368
C-EEU-SVN,q1,2055,0.14424375
C-EEU-SVN,q1,2060,0.1482912
C-EEU-SVN,q1,2065,0.15254045
C-EEU-SVN,q1,2070,0.1557674
C-EEU-SVN,q1,2075,0.1572844
C-EEU-SVN,q1,2080,0.15856125
C-EEU-SVN,q1,2085,0.15942794999999998
C-EEU-SVN,q1,2090,0.15996044999999998
C-EEU-SVN,q1,2095,0.16025994999999998
C-EEU-SVN,q1,2100,0.16044175
C-EEU-SVN,q2,2015,0.12529804
C-EEU-SVN,q2,2020,0.1350169
C-EEU-SVN,q2,2025,0.14216935
C-EEU-SVN,q2,2030,0.14861955
C-EEU-SVN,q2,2035,0.15247205
C-EEU-SVN,q2,2040,0.1560938
C-EEU-SVN,q2,2045,0.15787584999999998
C-EEU-SVN,q2,2050,0.15911799999999998
C-EEU-SVN,q2,2055,0.1597421
C-EEU-SVN,q2,2060,0.1601673
C-EEU-SVN,q2,2065,0.1604298
C-EEU-SVN,q2,2070,0.1605632
C-EEU-SVN,q2,2075,0.1606186
C-EEU-SVN,q2,2080,0.16065145
C-EEU-SVN,q2,2085,0.16066714999999998
C-EEU-SVN,q2,2090,0.1606752
C-EEU-SVN,q2,2095,0.1606792
C-EEU-SVN,q2,2100,0.16068074999999998
C-EEU-SVN,q3,2015,0.1572663
C-EEU-SVN,q3,2020,0.15906745
C-EEU-SVN,q3,2025,0.15984725
C-EEU-SVN,q3,2030,0.16031185
C-EEU-SVN,q3,2035,0.1605123
C-EEU-SVN,q3,2040,0.16061375
C-EEU-SVN,q3,2045,0.1606571
C-EEU-SVN,q3,2050,0.160671
C-EEU-SVN,q3,2055,0.1606773
C-EEU-SVN,q3,2060,0.16068045
C-EEU-SVN,q3,2065,0.16068149999999998
C-EEU-SVN,q3,2070,0.16068185000000001
C-EEU-SVN,q3,2075,0.16068195
C-EEU-SVN,q3,2080,0.160682
C-EEU-SVN,q3,2085,0.160682
C-EEU-SVN,q3,2090,0.160682
C-EEU-SVN,q3,2095,0.160682
C-EEU-SVN,q3,2100,0.160682
C-WEU-AUT,q1,2015,0.16361234916666667
C-WEU-AUT,q1,2020,0.17357547650000002
C-WEU-AUT,q1,2025,0.181469026
C-WEU-AUT,q1,2030,0.1879194051666667
C-WEU-AUT,q1,2035,0.19740463433333333
C-WEU-AUT,q1,2040,0.20469321983333333
C-WEU-AUT,q1,2045,0.21040512216666665
C-WEU-AUT,q1,2050,0.21529318033333333
C-WEU-AUT,q1,2055,0.22102978683333332
C-WEU-AUT,q1,2060,0.223856266
C-WEU-AUT,q1,2065,0.226129722
C-WEU-AUT,q1,2070,0.22788851300000001
C-WEU-AUT,q1,2075,0.229112985
C-WEU-AUT,q1,2080,0.2296699065
C-WEU-AUT,q1,2085,0.2301023055
C-WEU-AUT,q1,2090,0.23038115166666664
C-WEU-AUT,q1,2095,0.23050870199999998
