region_gea,arch,material,year,urt,value
NAM,mfh,glass,2090,rur,5.742222222
NAM,mfh,glass,2090,urb,4.426945856
NAM,mfh,glass,2090,sub,5.084584038999999
NAM,mfh,glass,2095,rur,5.742222222
NAM,mfh,glass,2095,urb,4.426945856
NAM,mfh,glass,2095,sub,5.084584038999999
NAM,mfh,glass,2100,rur,5.742222222
NAM,mfh,glass,2100,urb,4.426945856
NAM,mfh,glass,2100,sub,5.084584038999999
NAM,mfh,steel,2015,rur,67.98111111
NAM,mfh,steel,2015,urb,70.93427613
NAM,mfh,steel,2015,sub,69.45769362
NAM,mfh,steel,2020,rur,67.98111111
NAM,mfh,steel,2020,urb,70.93427613
NAM,mfh,steel,2020,sub,69.45769362
NAM,mfh,steel,2025,rur,67.98111111
NAM,mfh,steel,2025,urb,70.93427613
NAM,mfh,steel,2025,sub,69.45769362
NAM,mfh,steel,2030,rur,67.98111111
NAM,mfh,steel,2030,urb,70.93427613
NAM,mfh,steel,2030,sub,69.45769362
NAM,mfh,steel,2035,rur,67.98111111
NAM,mfh,steel,2035,urb,70.93427613
NAM,mfh,steel,2035,sub,69.45769362
NAM,mfh,steel,2040,rur,67.98111111
NAM,mfh,steel,2040,urb,70.93427613
NAM,mfh,steel,2040,sub,69.45769362
NAM,mfh,steel,2045,rur,67.98111111
NAM,mfh,steel,2045,urb,70.93427613
NAM,mfh,steel,2045,sub,69.45769362
NAM,mfh,steel,2050,rur,67.98111111
NAM,mfh,steel,2050,urb,70.93427613
NAM,mfh,steel,2050,sub,69.45769362
NAM,mfh,steel,2055,rur,67.98111111
NAM,mfh,steel,2055,urb,70.93427613
NAM,mfh,steel,2055,sub,69.45769362
NAM,mfh,steel,2060,rur,67.98111111
NAM,mfh,steel,2060,urb,70.93427613
NAM,mfh,steel,2060,sub,69.45769362
NAM,mfh,steel,2065,rur,67.98111111
NAM,mfh,steel,2065,urb,70.93427613
NAM,mfh,steel,2065,sub,69.45769362
NAM,mfh,steel,2070,rur,67.98111111
NAM,mfh,steel,2070,urb,70.93427613
NAM,mfh,steel,2070,sub,69.45769362
NAM,mfh,steel,2075,rur,67.98111111
NAM,mfh,steel,2075,urb,70.93427613
NAM,mfh,steel,2075,sub,69.45769362
NAM,mfh,steel,2080,rur,67.98111111
NAM,mfh,steel,2080,urb,70.93427613
NAM,mfh,steel,2080,sub,69.45769362
NAM,mfh,steel,2085,rur,67.98111111
NAM,mfh,steel,2085,urb,70.93427613
