year,region_bld,clim,arch,mat,urt,Occupied conventional dwellings,Unoccupied conventional dwellings
2015,C-WEU-NLD,Zone_5A Cool Humid,mfh,perm,urb,411448.99999999994,29505.0
2015,C-WEU-NLD,Zone_5A Cool Humid,sfh,perm,urb,1458580.0,42356.0
2015,C-WEU-PRT,Zone_3A Warm Humid,mfh,perm,rur,319796.0,142018.99999999997
2015,C-WEU-PRT,Zone_3A Warm Humid,mfh,perm,urb,1077402.0,340950.0
2015,C-WEU-PRT,Zone_3A Warm Humid,sfh,perm,rur,634640.0,478394.0
2015,C-WEU-PRT,Zone_3A Warm Humid,sfh,perm,urb,307356.0,162610.0
2015,C-WEU-PRT,Zone_3C Warm Marine,mfh,perm,rur,50696.0,26392.999999999993
2015,C-WEU-PRT,Zone_3C Warm Marine,mfh,perm,urb,568698.9999999999,133047.0
2015,C-WEU-PRT,Zone_3C Warm Marine,sfh,perm,rur,140798.0,109203.0
2015,C-WEU-PRT,Zone_3C Warm Marine,sfh,perm,urb,583886.0,195635.0
2015,C-WEU-PRT,Zone_4A Mixed Humid,mfh,perm,rur,13113.0,7996.999999999996
2015,C-WEU-PRT,Zone_4A Mixed Humid,sfh,perm,rur,32314.999999999996,33686.0
2015,C-WEU-PRT,Zone_4C Mixed Marine,mfh,perm,rur,26522.999999999996,13088.999999999993
2015,C-WEU-PRT,Zone_4C Mixed Marine,mfh,perm,urb,128955.0,31937.0
2015,C-WEU-PRT,Zone_4C Mixed Marine,sfh,perm,rur,84255.0,89680.0
2015,C-WEU-PRT,Zone_4C Mixed Marine,sfh,perm,urb,174147.0,63456.0
2015,C-WEU-SWE,Zone_5A Cool Humid,mfh,perm,rur,9120.0,1642.9999999999989
2015,C-WEU-SWE,Zone_5A Cool Humid,mfh,perm,urb,400338.0,38819.0
2015,C-WEU-SWE,Zone_5A Cool Humid,sfh,perm,rur,16965.0,13710.0
2015,C-WEU-SWE,Zone_5A Cool Humid,sfh,perm,urb,412748.99999999994,89243.0
2015,C-WEU-SWE,Zone_6A Cold Humid,mfh,perm,rur,44918.0,6998.999999999996
2015,C-WEU-SWE,Zone_6A Cold Humid,mfh,perm,urb,1712913.9999999998,166548.99999999997
2015,C-WEU-SWE,Zone_6A Cold Humid,sfh,perm,rur,67481.0,36358.0
2015,C-WEU-SWE,Zone_6A Cold Humid,sfh,perm,urb,1188572.0,340862.0
2015,C-WEU-SWE,Zone_7A Very cold Humid,mfh,perm,rur,76277.99999999999,14019.999999999996
2015,C-WEU-SWE,Zone_7A Very cold Humid,mfh,perm,urb,168984.0,24466.999999999993
2015,C-WEU-SWE,Zone_7A Very cold Humid,sfh,perm,rur,115944.0,100328.0
2015,C-WEU-SWE,Zone_7A Very cold Humid,sfh,perm,urb,197913.0,106596.0
2015,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,mfh,perm,urb,51374.99999999999,9735.0
2015,C-WEU-SWE,Zone_8A Subarctic/arctic Humid,sfh,perm,urb,64014.0,33301.0
2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,perm,rur,89741.0,43183.0
2020,C-EEU-BGR,Zone_4A Mixed Humid,mfh,perm,urb,875108.0,429357.0
2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,perm,rur,121124.0,111500.0
2020,C-EEU-BGR,Zone_4A Mixed Humid,sfh,perm,urb,561598.0,492038.0
2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,perm,rur,31585.0,21676.0
2020,C-EEU-BGR,Zone_5A Cool Humid,mfh,perm,urb,705241.0,287740.0
2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,perm,rur,9263.999999999998,11764.999999999998
2020,C-EEU-BGR,Zone_5A Cool Humid,sfh,perm,urb,207249.99999999997,260415.0
2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,perm,rur,614741.0,121898.99999999999
2020,C-EEU-CZE,Zone_5A Cool Humid,mfh,perm,urb,2585368.0,403839.0
2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,perm,rur,321557.0,114042.0
2020,C-EEU-CZE,Zone_5A Cool Humid,sfh,perm,urb,958472.9999999999,220114.0
2020,C-EEU-EST,Zone_6A Cold Humid,mfh,perm,rur,63033.0,25956.0
2020,C-EEU-EST,Zone_6A Cold Humid,mfh,perm,urb,339687.0,97631.0
2020,C-EEU-EST,Zone_6A Cold Humid,sfh,perm,rur,51947.0,20360.0
2020,C-EEU-EST,Zone_6A Cold Humid,sfh,perm,urb,102478.99999999999,31743.0
2020,C-EEU-HRV,Zone_3A Warm Humid,mfh,perm,rur,51317.0,62070.0
2020,C-EEU-HRV,Zone_3A Warm Humid,sfh,perm,rur,27854.0,39218.0
2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,perm,rur,171341.0,87010.99999999999
2020,C-EEU-HRV,Zone_4A Mixed Humid,mfh,perm,urb,507205.0,253535.0
2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,perm,rur,345730.0,227771.0
2020,C-EEU-HRV,Zone_4A Mixed Humid,sfh,perm,urb,252699.0,157356.0
2020,C-EEU-HRV,Zone_4C Mixed Marine,mfh,perm,rur,36388.0,63302.0
2020,C-EEU-HRV,Zone_4C Mixed Marine,sfh,perm,rur,23455.999999999996,33756.99999999999
2020,C-EEU-HRV,Zone_5A Cool Humid,mfh,perm,rur,7192.0,16829.0
2020,C-EEU-HRV,Zone_5A Cool Humid,sfh,perm,rur,10252.0,17635.0
2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,perm,rur,87595.99999999999,26183.0
2020,C-EEU-HUN,Zone_4A Mixed Humid,mfh,perm,urb,1257381.0,258389.00000000003
2020,C-EEU-HUN,Zone_4A Mixed Humid,sfh,perm,rur,231822.0,34925.0
