region_bld,region_gea,mat,arch,yr_con,bld_age,value
C-WEU-BEL,WEU,perm,sfh,1980,p2,0.0591920255223192
C-WEU-BEL,WEU,perm,sfh,1985,p2,0.028779581636031296
C-WEU-BEL,WEU,perm,sfh,1990,p2,0.03935548788385073
C-WEU-BEL,WEU,perm,sfh,1995,p3,0.04351767406546579
C-WEU-BEL,WEU,perm,sfh,2000,p3,0.04295046691686096
C-WEU-BEL,WEU,perm,sfh,2005,p3,0.037656949766164974
C-WEU-BEL,WEU,perm,sfh,2010,p3,0.04368283240206568
C-WEU-BEL,WEU,perm,sfh,2015,p3,0.042272027798984424
C-WEU-BEL,WEU,perm,sfh,2020,p3,0.039614253678516786
C-WEU-CYP,WEU,perm,mfh,1945,p1,0.014651898915971885
C-WEU-CYP,WEU,perm,mfh,1960,p2,0.0365995875293698
C-WEU-CYP,WEU,perm,mfh,1965,p2,0.008537554653970884
C-WEU-CYP,WEU,perm,mfh,1970,p2,0.09247528044396301
C-WEU-CYP,WEU,perm,mfh,1975,p2,0.04495325528457099
C-WEU-CYP,WEU,perm,mfh,1980,p2,0.05679079896851442
C-WEU-CYP,WEU,perm,mfh,1985,p2,0.03770593696109984
C-WEU-CYP,WEU,perm,mfh,1990,p2,0.07623748784651513
C-WEU-CYP,WEU,perm,mfh,1995,p3,0.10955020527787722
C-WEU-CYP,WEU,perm,mfh,2000,p3,0.12897056597018547
C-WEU-CYP,WEU,perm,mfh,2005,p3,0.1297897628947858
C-WEU-CYP,WEU,perm,mfh,2010,p3,0.1348606998421119
C-WEU-CYP,WEU,perm,mfh,2015,p3,0.06281272799342802
C-WEU-CYP,WEU,perm,mfh,2020,p3,0.06606423741763512
C-WEU-CYP,WEU,perm,sfh,1945,p1,0.014651898915971975
C-WEU-CYP,WEU,perm,sfh,1960,p2,0.0365995875293698
C-WEU-CYP,WEU,perm,sfh,1965,p2,0.008537554592133558
C-WEU-CYP,WEU,perm,sfh,1970,p2,0.0924752797639877
C-WEU-CYP,WEU,perm,sfh,1975,p2,0.0449532564377184
C-WEU-CYP,WEU,perm,sfh,1980,p2,0.05679079855717971
C-WEU-CYP,WEU,perm,sfh,1985,p2,0.03770593772581923
C-WEU-CYP,WEU,perm,sfh,1990,p2,0.07623748220070006
C-WEU-CYP,WEU,perm,sfh,1995,p3,0.10955020988906536
