region_gea,year,region_bld,value
EEU,2080,C-EEU-BGR,5.0
EEU,2080,C-EEU-CZE,5.0
EEU,2080,C-EEU-EST,5.0
EEU,2080,C-EEU-HRV,5.0
EEU,2080,C-EEU-HUN,5.0
EEU,2080,C-EEU-LTU,5.0
EEU,2080,C-EEU-LVA,5.0
EEU,2080,C-EEU-POL,5.0
EEU,2080,C-EEU-ROU,5.0
EEU,2080,C-EEU-SVK,5.0
EEU,2080,C-EEU-SVN,5.0
EEU,2085,C-EEU-BGR,5.0
EEU,2085,C-EEU-CZE,5.0
EEU,2085,C-EEU-EST,5.0
EEU,2085,C-EEU-HRV,5.0
EEU,2085,C-EEU-HUN,5.0
EEU,2085,C-EEU-LTU,5.0
EEU,2085,C-EEU-LVA,5.0
EEU,2085,C-EEU-POL,5.0
EEU,2085,C-EEU-ROU,5.0
EEU,2085,C-EEU-SVK,5.0
EEU,2085,C-EEU-SVN,5.0
EEU,2090,C-EEU-BGR,5.0
EEU,2090,C-EEU-CZE,5.0
EEU,2090,C-EEU-EST,5.0
EEU,2090,C-EEU-HRV,5.0
EEU,2090,C-EEU-HUN,5.0
EEU,2090,C-EEU-LTU,5.0
EEU,2090,C-EEU-LVA,5.0
EEU,2090,C-EEU-POL,5.0
EEU,2090,C-EEU-ROU,5.0
EEU,2090,C-EEU-SVK,5.0
EEU,2090,C-EEU-SVN,5.0
EEU,2095,C-EEU-BGR,5.0
EEU,2095,C-EEU-CZE,5.0
EEU,2095,C-EEU-EST,5.0
EEU,2095,C-EEU-HRV,5.0
EEU,2095,C-EEU-HUN,5.0
EEU,2095,C-EEU-LTU,5.0
EEU,2095,C-EEU-LVA,5.0
EEU,2095,C-EEU-POL,5.0
EEU,2095,C-EEU-ROU,5.0
EEU,2095,C-EEU-SVK,5.0
EEU,2095,C-EEU-SVN,5.0
EEU,2100,C-EEU-BGR,5.0
EEU,2100,C-EEU-CZE,5.0
EEU,2100,C-EEU-EST,5.0
EEU,2100,C-EEU-HRV,5.0
EEU,2100,C-EEU-HUN,5.0
EEU,2100,C-EEU-LTU,5.0
EEU,2100,C-EEU-LVA,5.0
EEU,2100,C-EEU-POL,5.0
EEU,2100,C-EEU-ROU,5.0
EEU,2100,C-EEU-SVK,5.0
EEU,2100,C-EEU-SVN,5.0
WEU,2015,C-WEU-AUT,5.0
WEU,2015,C-WEU-BEL,5.0
WEU,2015,C-WEU-CYP,5.0
WEU,2015,C-WEU-DEU,5.0
WEU,2015,C-WEU-DNK,5.0
WEU,2015,C-WEU-ESP,5.0
WEU,2015,C-WEU-FIN,5.0
WEU,2015,C-WEU-FRA,5.0
WEU,2015,C-WEU-GRC,5.0
WEU,2015,C-WEU-IRL,5.0
WEU,2015,C-WEU-ITA,5.0
WEU,2015,C-WEU-LUX,5.0
WEU,2015,C-WEU-MLT,5.0
WEU,2015,C-WEU-NLD,5.0
WEU,2015,C-WEU-PRT,5.0
WEU,2015,C-WEU-SWE,5.0
WEU,2020,C-WEU-AUT,5.0
WEU,2020,C-WEU-BEL,5.0
WEU,2020,C-WEU-CYP,5.0
WEU,2020,C-WEU-DEU,5.0
WEU,2020,C-WEU-DNK,5.0
WEU,2020,C-WEU-ESP,5.0
WEU,2020,C-WEU-FIN,5.0
WEU,2020,C-WEU-FRA,5.0
WEU,2020,C-WEU-GRC,5.0
WEU,2020,C-WEU-IRL,5.0
WEU,2020,C-WEU-ITA,5.0
WEU,2020,C-WEU-LUX,5.0
WEU,2020,C-WEU-MLT,5.0
WEU,2020,C-WEU-NLD,5.0
WEU,2020,C-WEU-PRT,5.0
WEU,2020,C-WEU-SWE,5.0
WEU,2025,C-WEU-AUT,5.0
WEU,2025,C-WEU-BEL,5.0
WEU,2025,C-WEU-CYP,5.0
WEU,2025,C-WEU-DEU,5.0
WEU,2025,C-WEU-DNK,5.0
WEU,2025,C-WEU-ESP,5.0
WEU,2025,C-WEU-FIN,5.0
WEU,2025,C-WEU-FRA,5.0
WEU,2025,C-WEU-GRC,5.0
WEU,2025,C-WEU-IRL,5.0
WEU,2025,C-WEU-ITA,5.0
WEU,2025,C-WEU-LUX,5.0
