region_bld,region_nuts,urt,arch,year,value
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2045,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2050,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2055,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2060,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2065,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2070,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2075,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2035,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2085,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2080,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2045,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2040,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2035,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2030,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,sub,mfh,2100,2.40211789244127
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2020,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2015,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2100,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2095,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,rur,mfh,2090,2.3093322227761575
C-EEU-BGR,C-EEU-BGR-BG312,urb,mfh,2025,2.12376088344593
C-EEU-BGR,C-EEU-BGR-BG312,rur,sfh,2015,2.3687206435151356
C-EEU-BGR,C-EEU-BGR-BG312,urb,sfh,2070,2.178377020375526
C-EEU-BGR,C-EEU-BGR-BG312,urb,sfh,2075,2.178377020375526
C-EEU-BGR,C-EEU-BGR-BG312,urb,sfh,2080,2.178377020375526
C-EEU-BGR,C-EEU-BGR-BG312,urb,sfh,2085,2.178377020375526
C-EEU-BGR,C-EEU-BGR-BG312,urb,sfh,2090,2.178377020375526
