urt,year,region_bld,region_nuts,clim,arch,Occupied conventional dwellings,Unoccupied conventional dwellings,mat
rur,2050,C-WEU-ESP,C-WEU-ESP-ES705,Zone_3B Warm Dry,mfh,0.733729439345476,0.7042124116114626,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES705,Zone_3B Warm Dry,sfh,0.26627056065452404,0.2957875883885374,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES706,Zone_3B Warm Dry,mfh,0.49423503325942353,0.4226252158894646,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES706,Zone_3B Warm Dry,sfh,0.5057649667405765,0.5773747841105354,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES707,Zone_3C Warm Marine,mfh,0.49671179883945843,0.40020810301099047,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES707,Zone_3C Warm Marine,sfh,0.5032882011605416,0.5997918969890096,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES708,Zone_2B Hot Dry,mfh,0.646989647738004,0.7001303174159919,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES708,Zone_2B Hot Dry,sfh,0.35301035226199595,0.2998696825840082,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES709,Zone_3C Warm Marine,mfh,0.7127800569816951,0.7270829479692413,perm
rur,2050,C-WEU-ESP,C-WEU-ESP-ES709,Zone_3C Warm Marine,sfh,0.2872199430183049,0.27291705203075867,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI196,Zone_6A Cold Humid,mfh,0.5195495266765805,0.7308986594582667,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI196,Zone_6A Cold Humid,sfh,0.48045047332341956,0.26910134054173335,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI198,Zone_7A Very cold Humid,mfh,0.622863986654595,0.7484375745431993,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI198,Zone_7A Very cold Humid,sfh,0.37713601334540503,0.25156242545680074,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI199,Zone_7A Very cold Humid,mfh,0.4601489550911516,0.6582593029757098,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI199,Zone_7A Very cold Humid,sfh,0.5398510449088484,0.3417406970242902,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI19A,Zone_7A Very cold Humid,mfh,0.5276794832213171,0.7217574644630348,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI19A,Zone_7A Very cold Humid,sfh,0.47232051677868286,0.27824253553696526,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI19B,Zone_7A Very cold Humid,mfh,0.7057075225555665,0.7967561593967366,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI19B,Zone_7A Very cold Humid,sfh,0.29429247744443354,0.20324384060326334,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1B1,Zone_6A Cold Humid,mfh,0.8204428009747237,0.8666535381383746,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1B1,Zone_6A Cold Humid,sfh,0.17955719902527634,0.1333464618616253,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C1,Zone_6A Cold Humid,mfh,0.6614199829859287,0.7632564557461068,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C1,Zone_6A Cold Humid,sfh,0.3385800170140712,0.23674354425389316,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C2,Zone_6A Cold Humid,mfh,0.5863199351326306,0.7517391668762048,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C2,Zone_6A Cold Humid,sfh,0.4136800648673694,0.24826083312379515,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C5,Zone_7A Very cold Humid,mfh,0.585567040843527,0.7064712560635773,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C5,Zone_7A Very cold Humid,sfh,0.41443295915647305,0.29352874393642275,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C6,Zone_7A Very cold Humid,mfh,0.6697008607980216,0.7904523790921165,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C6,Zone_7A Very cold Humid,sfh,0.3302991392019784,0.20954762090788343,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C7,Zone_6A Cold Humid,mfh,0.578030817911379,0.7340380549682876,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1C7,Zone_6A Cold Humid,sfh,0.421969182088621,0.2659619450317125,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D5,Zone_7A Very cold Humid,mfh,0.47139088807112384,0.6966632962588474,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D5,Zone_7A Very cold Humid,sfh,0.5286091119288762,0.3033367037411527,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D7,Zone_7A Very cold Humid,mfh,0.5181516662530178,0.661417757887176,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D7,Zone_7A Very cold Humid,sfh,0.4818483337469822,0.3385822421128239,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D8,Zone_7A Very cold Humid,mfh,0.5383840034869783,0.671105406706241,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D8,Zone_7A Very cold Humid,sfh,0.4616159965130217,0.32889459329375903,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D9,Zone_7A Very cold Humid,mfh,0.5789041405295525,0.701409451616724,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1D9,Zone_7A Very cold Humid,sfh,0.42109585947044753,0.2985905483832761,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1DA,Zone_7A Very cold Humid,mfh,0.5487831028197706,0.7003949967083608,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1DA,Zone_7A Very cold Humid,sfh,0.45121689718022945,0.29960500329163925,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1DB,Zone_7A Very cold Humid,mfh,0.6253250109330895,0.7237034537068286,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1DB,Zone_7A Very cold Humid,sfh,0.3746749890669105,0.27629654629317135,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1DC,Zone_7A Very cold Humid,mfh,0.5576888783213457,0.6785167917243389,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI1DC,Zone_7A Very cold Humid,sfh,0.4423111216786542,0.3214832082756611,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI200,Zone_6A Cold Humid,mfh,0.4543029622350133,0.6766275346851655,perm
rur,2050,C-WEU-FIN,C-WEU-FIN-FI200,Zone_6A Cold Humid,sfh,0.5456970377649867,0.3233724653148346,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR101,Zone_4A Mixed Humid,mfh,0.9951473358802856,0.9962383892857409,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR101,Zone_4A Mixed Humid,sfh,0.004852664119714459,0.003761610714259112,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR102,Zone_4A Mixed Humid,mfh,0.4400469804138238,0.523432783655832,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR102,Zone_4A Mixed Humid,sfh,0.5599530195861763,0.47656721634416804,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR103,Zone_4A Mixed Humid,mfh,0.601308380590627,0.7002013093566559,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR103,Zone_4A Mixed Humid,sfh,0.398691619409373,0.2997986906433441,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR104,Zone_4A Mixed Humid,mfh,0.555874711397746,0.6980312517628476,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR104,Zone_4A Mixed Humid,sfh,0.444125288602254,0.30196874823715236,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR105,Zone_4A Mixed Humid,mfh,0.8965076886880339,0.940404204846737,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR105,Zone_4A Mixed Humid,sfh,0.10349231131196612,0.059595795153262944,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR106,Zone_4A Mixed Humid,mfh,0.7917350545566313,0.8369088811995387,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR106,Zone_4A Mixed Humid,sfh,0.20826494544336868,0.16309111880046137,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR107,Zone_4A Mixed Humid,mfh,0.8033952382286488,0.8641552950221026,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR107,Zone_4A Mixed Humid,sfh,0.19660476177135125,0.13584470497789736,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR108,Zone_4A Mixed Humid,mfh,0.5811909235557493,0.6790098812256712,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FR108,Zone_4A Mixed Humid,sfh,0.41880907644425075,0.32099011877432876,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB01,Zone_4A Mixed Humid,mfh,0.20230440386227103,0.2535473111518167,perm
rur,2050,C-WEU-FRA,C-WEU-FRA-FRB01,Zone_4A Mixed Humid,sfh,0.797695596137729,0.7464526888481833,perm
