,region_bld,clim,arch,eneff,urt,value
180,C-EEU-CZE,Zone_5A Cool Humid,sfh,s3,rur,1.0
181,C-EEU-CZE,Zone_5A Cool Humid,sfh,s3,sub,1.0
182,C-EEU-CZE,Zone_5A Cool Humid,sfh,s3,urb,1.0
183,C-EEU-CZE,Zone_5A Cool Humid,sfh,s51_std,rur,1.0
184,C-EEU-CZE,Zone_5A Cool Humid,sfh,s51_std,sub,1.0
185,C-EEU-CZE,Zone_5A Cool Humid,sfh,s51_std,urb,1.0
186,C-EEU-CZE,Zone_5A Cool Humid,sfh,s52_low,rur,1.0
187,C-EEU-CZE,Zone_5A Cool Humid,sfh,s52_low,sub,1.0
188,C-EEU-CZE,Zone_5A Cool Humid,sfh,s52_low,urb,1.0
189,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr11_std,rur,1.0
190,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr11_std,sub,1.0
191,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr11_std,urb,1.0
192,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr12_low,rur,1.0
193,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr12_low,sub,1.0
194,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr12_low,urb,1.0
195,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr21_std,rur,0.97169
196,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr21_std,sub,0.97453
197,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr21_std,urb,0.97738
198,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr22_low,rur,0.97169
199,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr22_low,sub,0.97453
200,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr22_low,urb,0.97738
201,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr31_std,rur,1.0
202,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr31_std,sub,1.0
203,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr31_std,urb,1.0
204,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr32_low,rur,1.0
205,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr32_low,sub,1.0
206,C-EEU-CZE,Zone_5A Cool Humid,sfh,sr32_low,urb,1.0
207,C-EEU-EST,Zone_6A Cold Humid,inf,ns,rur,0.84835
208,C-EEU-EST,Zone_6A Cold Humid,inf,ns,sub,0.64237
209,C-EEU-EST,Zone_6A Cold Humid,inf,ns,urb,0.87277
210,C-EEU-EST,Zone_6A Cold Humid,mfh,s1,rur,0.99998
211,C-EEU-EST,Zone_6A Cold Humid,mfh,s1,sub,0.99999
212,C-EEU-EST,Zone_6A Cold Humid,mfh,s1,urb,1.0
213,C-EEU-EST,Zone_6A Cold Humid,mfh,s2,rur,0.99998
214,C-EEU-EST,Zone_6A Cold Humid,mfh,s2,sub,0.99999
215,C-EEU-EST,Zone_6A Cold Humid,mfh,s2,urb,1.0
216,C-EEU-EST,Zone_6A Cold Humid,mfh,s3,rur,1.0
217,C-EEU-EST,Zone_6A Cold Humid,mfh,s3,sub,1.0
218,C-EEU-EST,Zone_6A Cold Humid,mfh,s3,urb,1.0
219,C-EEU-EST,Zone_6A Cold Humid,mfh,s51_std,rur,1.0
220,C-EEU-EST,Zone_6A Cold Humid,mfh,s51_std,sub,1.0
221,C-EEU-EST,Zone_6A Cold Humid,mfh,s51_std,urb,1.0
222,C-EEU-EST,Zone_6A Cold Humid,mfh,s52_low,rur,1.0
223,C-EEU-EST,Zone_6A Cold Humid,mfh,s52_low,sub,1.0
224,C-EEU-EST,Zone_6A Cold Humid,mfh,s52_low,urb,1.0
225,C-EEU-EST,Zone_6A Cold Humid,mfh,sr11_std,rur,0.99998
226,C-EEU-EST,Zone_6A Cold Humid,mfh,sr11_std,sub,0.99999
227,C-EEU-EST,Zone_6A Cold Humid,mfh,sr11_std,urb,1.0
228,C-EEU-EST,Zone_6A Cold Humid,mfh,sr12_low,rur,0.99998
229,C-EEU-EST,Zone_6A Cold Humid,mfh,sr12_low,sub,0.99999
230,C-EEU-EST,Zone_6A Cold Humid,mfh,sr12_low,urb,1.0
231,C-EEU-EST,Zone_6A Cold Humid,mfh,sr21_std,rur,0.99998
232,C-EEU-EST,Zone_6A Cold Humid,mfh,sr21_std,sub,0.99999
233,C-EEU-EST,Zone_6A Cold Humid,mfh,sr21_std,urb,1.0
234,C-EEU-EST,Zone_6A Cold Humid,mfh,sr22_low,rur,0.99998
235,C-EEU-EST,Zone_6A Cold Humid,mfh,sr22_low,sub,0.99999
236,C-EEU-EST,Zone_6A Cold Humid,mfh,sr22_low,urb,1.0
237,C-EEU-EST,Zone_6A Cold Humid,mfh,sr31_std,rur,1.0
238,C-EEU-EST,Zone_6A Cold Humid,mfh,sr31_std,sub,1.0
239,C-EEU-EST,Zone_6A Cold Humid,mfh,sr31_std,urb,1.0
240,C-EEU-EST,Zone_6A Cold Humid,mfh,sr32_low,rur,1.0
241,C-EEU-EST,Zone_6A Cold Humid,mfh,sr32_low,sub,1.0
242,C-EEU-EST,Zone_6A Cold Humid,mfh,sr32_low,urb,1.0
243,C-EEU-EST,Zone_6A Cold Humid,sfh,s1,rur,0.84835
244,C-EEU-EST,Zone_6A Cold Humid,sfh,s1,sub,0.64237
245,C-EEU-EST,Zone_6A Cold Humid,sfh,s1,urb,0.43638
246,C-EEU-EST,Zone_6A Cold Humid,sfh,s2,rur,0.56199
247,C-EEU-EST,Zone_6A Cold Humid,sfh,s2,sub,0.42251
248,C-EEU-EST,Zone_6A Cold Humid,sfh,s2,urb,0.28303
249,C-EEU-EST,Zone_6A Cold Humid,sfh,s3,rur,0.89039
250,C-EEU-EST,Zone_6A Cold Humid,sfh,s3,sub,0.66805
251,C-EEU-EST,Zone_6A Cold Humid,sfh,s3,urb,0.4457
252,C-EEU-EST,Zone_6A Cold Humid,sfh,s51_std,rur,0.99998
253,C-EEU-EST,Zone_6A Cold Humid,sfh,s51_std,sub,0.99999
254,C-EEU-EST,Zone_6A Cold Humid,sfh,s51_std,urb,1.0
255,C-EEU-EST,Zone_6A Cold Humid,sfh,s52_low,rur,1.0
256,C-EEU-EST,Zone_6A Cold Humid,sfh,s52_low,sub,1.0
257,C-EEU-EST,Zone_6A Cold Humid,sfh,s52_low,urb,1.0
258,C-EEU-EST,Zone_6A Cold Humid,sfh,sr11_std,rur,0.84835
259,C-EEU-EST,Zone_6A Cold Humid,sfh,sr11_std,sub,0.64237
260,C-EEU-EST,Zone_6A Cold Humid,sfh,sr11_std,urb,0.43638
261,C-EEU-EST,Zone_6A Cold Humid,sfh,sr12_low,rur,0.84835
262,C-EEU-EST,Zone_6A Cold Humid,sfh,sr12_low,sub,0.64237
263,C-EEU-EST,Zone_6A Cold Humid,sfh,sr12_low,urb,0.43638
264,C-EEU-EST,Zone_6A Cold Humid,sfh,sr21_std,rur,0.56199
265,C-EEU-EST,Zone_6A Cold Humid,sfh,sr21_std,sub,0.42251
266,C-EEU-EST,Zone_6A Cold Humid,sfh,sr21_std,urb,0.28303
267,C-EEU-EST,Zone_6A Cold Humid,sfh,sr22_low,rur,0.56199
268,C-EEU-EST,Zone_6A Cold Humid,sfh,sr22_low,sub,0.42251
269,C-EEU-EST,Zone_6A Cold Humid,sfh,sr22_low,urb,0.28303
270,C-EEU-EST,Zone_6A Cold Humid,sfh,sr31_std,rur,0.89039
271,C-EEU-EST,Zone_6A Cold Humid,sfh,sr31_std,sub,0.66805
272,C-EEU-EST,Zone_6A Cold Humid,sfh,sr31_std,urb,0.4457
273,C-EEU-EST,Zone_6A Cold Humid,sfh,sr32_low,rur,0.89039
274,C-EEU-EST,Zone_6A Cold Humid,sfh,sr32_low,sub,0.66805
275,C-EEU-EST,Zone_6A Cold Humid,sfh,sr32_low,urb,0.4457
276,C-EEU-HRV,Zone_3A Warm Humid,inf,ns,rur,1.0
277,C-EEU-HRV,Zone_3A Warm Humid,inf,ns,sub,1.0
278,C-EEU-HRV,Zone_3A Warm Humid,inf,ns,urb,0.0
279,C-EEU-HRV,Zone_3A Warm Humid,mfh,s1,rur,1.0
280,C-EEU-HRV,Zone_3A Warm Humid,mfh,s1,sub,1.0
281,C-EEU-HRV,Zone_3A Warm Humid,mfh,s1,urb,0.0
282,C-EEU-HRV,Zone_3A Warm Humid,mfh,s2,rur,1.0
283,C-EEU-HRV,Zone_3A Warm Humid,mfh,s2,sub,1.0
284,C-EEU-HRV,Zone_3A Warm Humid,mfh,s2,urb,0.0
285,C-EEU-HRV,Zone_3A Warm Humid,mfh,s3,rur,1.0
286,C-EEU-HRV,Zone_3A Warm Humid,mfh,s3,sub,1.0
287,C-EEU-HRV,Zone_3A Warm Humid,mfh,s3,urb,0.0
288,C-EEU-HRV,Zone_3A Warm Humid,mfh,s51_std,rur,1.0
289,C-EEU-HRV,Zone_3A Warm Humid,mfh,s51_std,sub,1.0
290,C-EEU-HRV,Zone_3A Warm Humid,mfh,s51_std,urb,0.0
291,C-EEU-HRV,Zone_3A Warm Humid,mfh,s52_low,rur,1.0
292,C-EEU-HRV,Zone_3A Warm Humid,mfh,s52_low,sub,1.0
293,C-EEU-HRV,Zone_3A Warm Humid,mfh,s52_low,urb,0.0
294,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr11_std,rur,1.0
295,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr11_std,sub,1.0
296,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr11_std,urb,0.0
297,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr12_low,rur,1.0
298,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr12_low,sub,1.0
299,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr12_low,urb,0.0
300,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr21_std,rur,1.0
301,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr21_std,sub,1.0
302,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr21_std,urb,0.0
303,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr22_low,rur,1.0
304,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr22_low,sub,1.0
305,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr22_low,urb,0.0
306,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr31_std,rur,1.0
307,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr31_std,sub,1.0
308,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr31_std,urb,0.0
309,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr32_low,rur,1.0
310,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr32_low,sub,1.0
311,C-EEU-HRV,Zone_3A Warm Humid,mfh,sr32_low,urb,0.0
312,C-EEU-HRV,Zone_3A Warm Humid,sfh,s1,rur,1.0
313,C-EEU-HRV,Zone_3A Warm Humid,sfh,s1,sub,1.0
314,C-EEU-HRV,Zone_3A Warm Humid,sfh,s1,urb,0.0
315,C-EEU-HRV,Zone_3A Warm Humid,sfh,s2,rur,1.0
316,C-EEU-HRV,Zone_3A Warm Humid,sfh,s2,sub,1.0
317,C-EEU-HRV,Zone_3A Warm Humid,sfh,s2,urb,0.0
318,C-EEU-HRV,Zone_3A Warm Humid,sfh,s3,rur,1.0
319,C-EEU-HRV,Zone_3A Warm Humid,sfh,s3,sub,1.0
320,C-EEU-HRV,Zone_3A Warm Humid,sfh,s3,urb,0.0
321,C-EEU-HRV,Zone_3A Warm Humid,sfh,s51_std,rur,1.0
322,C-EEU-HRV,Zone_3A Warm Humid,sfh,s51_std,sub,1.0
323,C-EEU-HRV,Zone_3A Warm Humid,sfh,s51_std,urb,0.0
324,C-EEU-HRV,Zone_3A Warm Humid,sfh,s52_low,rur,1.0
325,C-EEU-HRV,Zone_3A Warm Humid,sfh,s52_low,sub,1.0
326,C-EEU-HRV,Zone_3A Warm Humid,sfh,s52_low,urb,0.0
327,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr11_std,rur,1.0
328,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr11_std,sub,1.0
329,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr11_std,urb,0.0
330,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr12_low,rur,1.0
331,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr12_low,sub,1.0
332,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr12_low,urb,0.0
333,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr21_std,rur,1.0
334,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr21_std,sub,1.0
335,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr21_std,urb,0.0
336,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr22_low,rur,1.0
337,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr22_low,sub,1.0
338,C-EEU-HRV,Zone_3A Warm Humid,sfh,sr22_low,urb,0.0
