region_bld,clim,urt,inc_cl,mat,year,value
C-WEU-BEL,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-WEU-BEL,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q3,sub,2015,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q3,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-WEU-CYP,Zone_3A Warm Humid,rur,q3,sub,2015,0.0
C-WEU-CYP,Zone_3A Warm Humid,urb,q3,sub,2015,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-WEU-DEU,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-WEU-DEU,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-WEU-DEU,Zone_4A Mixed Humid,rur,q3,sub,2015,0.0
C-WEU-DEU,Zone_4A Mixed Humid,urb,q3,sub,2015,0.0
C-WEU-DEU,Zone_6A Cold Humid,rur,q3,sub,2015,0.0
C-WEU-DEU,Zone_6A Cold Humid,urb,q3,sub,2015,0.0
C-WEU-DNK,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-WEU-DNK,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-EEU-EST,Zone_6A Cold Humid,rur,q3,sub,2015,0.0
C-EEU-EST,Zone_6A Cold Humid,urb,q3,sub,2015,0.0
C-WEU-GRC,Zone_3A Warm Humid,rur,q3,sub,2015,0.0
C-WEU-GRC,Zone_3A Warm Humid,urb,q3,sub,2015,0.0
C-WEU-GRC,Zone_4A Mixed Humid,rur,q3,sub,2015,0.0
C-WEU-GRC,Zone_4A Mixed Humid,urb,q3,sub,2015,0.0
C-WEU-GRC,Zone_4C Mixed Marine,rur,q3,sub,2015,0.0
C-WEU-GRC,Zone_4C Mixed Marine,urb,q3,sub,2015,0.0
C-WEU-GRC,Zone_5C Cool Marine,rur,q3,sub,2015,0.0
C-WEU-GRC,Zone_5C Cool Marine,urb,q3,sub,2015,0.0
C-WEU-GRC,Zone_5A Cool Humid,rur,q3,sub,2015,0.0
C-WEU-GRC,Zone_5A Cool Humid,urb,q3,sub,2015,0.0
C-WEU-ESP,Zone_3C Warm Marine,rur,q3,sub,2015,0.0
C-WEU-ESP,Zone_3C Warm Marine,urb,q3,sub,2015,0.0
C-WEU-ESP,Zone_4C Mixed Marine,rur,q3,sub,2015,0.0
