,region_bld,region_gea,urt,clim,mat,arch,yr_con,bld_age,value
152,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2015,p3,0.0310890303368023
153,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,mfh,2020,p3,0.0314672806112575
154,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1945,p1,0.046640768495949
155,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1960,p2,0.0795939331593229
156,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1965,p2,0.1285317618410438
157,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1970,p2,0.0904122000468147
158,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1975,p2,0.0851731918997682
159,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1980,p2,0.0803567573189204
160,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1985,p2,0.1578942356890126
161,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1990,p2,0.0989108383290471
162,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,1995,p3,0.0195000118475778
163,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2000,p3,0.0372344526826938
164,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2005,p3,0.0526164729913296
165,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2010,p3,0.060579064750459
166,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2015,p3,0.0310890303368023
167,C-EEU-BGR,EEU,urb,Zone_5A Cool Humid,perm,sfh,2020,p3,0.0314672806112575
168,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1945,p1,0.1887102881137315
169,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1960,p2,0.0832588685836736
170,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1965,p2,0.0436754725647716
171,C-EEU-CZE,EEU,rur,Zone_5A Cool Humid,perm,mfh,1970,p2,0.0594236105939796
