clim,region_gea,year,value,region_bld,region_nuts
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE335
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE336
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE341
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE342
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE343
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE344
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE345
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE351
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE352
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-BEL,C-WEU-BEL-BE353
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG311
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG312
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG313
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG314
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG315
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG321
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG322
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG323
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG324
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG325
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG331
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG332
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG333
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG334
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG341
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG342
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG343
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG344
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG411
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG412
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG413
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG414
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG415
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG421
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG422
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG423
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG424
Zone_4A Mixed Humid,EEU,2015,6.0,C-EEU-BGR,C-EEU-BGR-BG425
Zone_3A Warm Humid,WEU,2015,2.0,C-WEU-CYP,C-WEU-CYP-CY000
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ010
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ020
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ031
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ032
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ041
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ042
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ051
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ052
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ053
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ063
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ064
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ071
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ072
Zone_5A Cool Humid,EEU,2015,6.0,C-EEU-CZE,C-EEU-CZE-CZ080
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE111
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE112
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE113
Zone_5A Cool Humid,WEU,2015,6.0,C-WEU-DEU,C-WEU-DEU-DE114
