region_bld,clim,urt,inc_cl,mat,year,region_nuts,value
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG415,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG415,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG421,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG421,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG422,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG422,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG423,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG423,0.0
C-EEU-BGR,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-BGR-BG424,0.0
C-EEU-BGR,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-BGR-BG424,0.0
C-EEU-BGR,Zone_4A Mixed Humid,rur,q1,sub,2015,C-EEU-BGR-BG425,0.0
C-EEU-BGR,Zone_4A Mixed Humid,urb,q1,sub,2015,C-EEU-BGR-BG425,0.0
C-WEU-CYP,Zone_3A Warm Humid,rur,q1,sub,2015,C-WEU-CYP-CY000,0.0
C-WEU-CYP,Zone_3A Warm Humid,urb,q1,sub,2015,C-WEU-CYP-CY000,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ010,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ010,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ020,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ020,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ031,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ031,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ032,0.0
C-EEU-CZE,Zone_5A Cool Humid,urb,q1,sub,2015,C-EEU-CZE-CZ032,0.0
C-EEU-CZE,Zone_5A Cool Humid,rur,q1,sub,2015,C-EEU-CZE-CZ041,0.0
