region_bld,clim,urt,inc_cl,mat,year,value
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2055,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2060,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2065,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2070,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2075,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2080,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2085,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2090,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2095,0.0
C-WEU-ITA,Zone_5C Cool Marine,rur,q3,sub,2100,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2015,0.009690778247543374
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2020,0.009690778247543374
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2025,0.009558874532999636
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2030,0.009441205884906344
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2035,0.009333442354649474
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2040,0.00923517013833322
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2045,0.00914025484167581
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2050,0.009043530873934426
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2055,0.008942226211444028
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2060,0.008842487134927699
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2065,0.00875376968051634
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2070,0.008680894946845777
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2075,0.008625846650358909
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2080,0.008582102012927818
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2085,0.008543465358209027
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2090,0.008501737120726657
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2095,0.008457669473344719
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,perm,2100,0.00841369126135526
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2015,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2020,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2025,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2030,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2035,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2040,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2045,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2050,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2055,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2060,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2065,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2070,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2075,0.0
C-WEU-ITA,Zone_5C Cool Marine,urb,q1,sub,2080,0.0
