,year,region_bld,clim,arch,urt,value,region_gea
415,2020,C-WEU-FRA,Zone_2A Hot Humid,sfh,urb,28328.0,WEU
416,2020,C-WEU-FRA,Zone_3A Warm Humid,mfh,rur,104708.0,WEU
417,2020,C-WEU-FRA,Zone_3A Warm Humid,mfh,urb,638602.0,WEU
418,2020,C-WEU-FRA,Zone_3A Warm Humid,sfh,rur,190983.0,WEU
419,2020,C-WEU-FRA,Zone_3A Warm Humid,sfh,urb,380907.0,WEU
420,2020,C-WEU-FRA,Zone_3C Warm Marine,mfh,urb,226021.0,WEU
421,2020,C-WEU-FRA,Zone_3C Warm Marine,sfh,urb,37069.0,WEU
422,2020,C-WEU-FRA,Zone_4A Mixed Humid,mfh,rur,580492.0,WEU
423,2020,C-WEU-FRA,Zone_4A Mixed Humid,mfh,urb,1436102.0,WEU
424,2020,C-WEU-FRA,Zone_4A Mixed Humid,sfh,rur,1253180.0,WEU
425,2020,C-WEU-FRA,Zone_4A Mixed Humid,sfh,urb,815395.0,WEU
426,2020,C-WEU-FRA,Zone_4C Mixed Marine,mfh,rur,58350.0,WEU
427,2020,C-WEU-FRA,Zone_4C Mixed Marine,sfh,rur,45760.0,WEU
428,2020,C-WEU-FRA,Zone_5A Cool Humid,mfh,rur,73681.0,WEU
429,2020,C-WEU-FRA,Zone_5A Cool Humid,mfh,urb,205365.0,WEU
430,2020,C-WEU-FRA,Zone_5A Cool Humid,sfh,rur,161842.0,WEU
431,2020,C-WEU-FRA,Zone_5A Cool Humid,sfh,urb,96103.0,WEU
432,2020,C-WEU-FRA,Zone_7A Very cold Humid,mfh,urb,121260.0,WEU
433,2020,C-WEU-FRA,Zone_7A Very cold Humid,sfh,urb,32175.0,WEU
434,2020,C-WEU-GRC,Zone_3A Warm Humid,mfh,rur,354535.0,WEU
435,2020,C-WEU-GRC,Zone_3A Warm Humid,mfh,urb,535886.0,WEU
436,2020,C-WEU-GRC,Zone_3A Warm Humid,sfh,rur,424655.0,WEU
437,2020,C-WEU-GRC,Zone_3A Warm Humid,sfh,urb,272845.0,WEU
438,2020,C-WEU-GRC,Zone_4A Mixed Humid,mfh,rur,88215.0,WEU
439,2020,C-WEU-GRC,Zone_4A Mixed Humid,mfh,urb,232439.0,WEU
440,2020,C-WEU-GRC,Zone_4A Mixed Humid,sfh,rur,144335.0,WEU
