region_bld,clim,inc_cl,year,urt,value
C-WEU-DEU,Zone_5A Cool Humid,q2,2050,rur,0.2240969
C-WEU-DEU,Zone_5A Cool Humid,q2,2050,sub,0.22484075
C-WEU-DEU,Zone_5A Cool Humid,q2,2050,urb,0.2255846
C-WEU-DEU,Zone_5A Cool Humid,q2,2055,rur,0.2248213
C-WEU-DEU,Zone_5A Cool Humid,q2,2055,sub,0.22520344999999997
C-WEU-DEU,Zone_5A Cool Humid,q2,2055,urb,0.2255856
C-WEU-DEU,Zone_5A Cool Humid,q2,2060,rur,0.2251982
C-WEU-DEU,Zone_5A Cool Humid,q2,2060,sub,0.22539205
C-WEU-DEU,Zone_5A Cool Humid,q2,2060,urb,0.22558590000000003
C-WEU-DEU,Zone_5A Cool Humid,q2,2065,rur,0.2253989
C-WEU-DEU,Zone_5A Cool Humid,q2,2065,sub,0.22549245
C-WEU-DEU,Zone_5A Cool Humid,q2,2065,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q2,2070,rur,0.2255077
C-WEU-DEU,Zone_5A Cool Humid,q2,2070,sub,0.22554685
C-WEU-DEU,Zone_5A Cool Humid,q2,2070,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q2,2075,rur,0.22554419999999997
C-WEU-DEU,Zone_5A Cool Humid,q2,2075,sub,0.22556510000000002
C-WEU-DEU,Zone_5A Cool Humid,q2,2075,urb,0.22558600000000004
C-WEU-DEU,Zone_5A Cool Humid,q2,2080,rur,0.2255665
C-WEU-DEU,Zone_5A Cool Humid,q2,2080,sub,0.22557625000000003
C-WEU-DEU,Zone_5A Cool Humid,q2,2080,urb,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q2,2085,rur,0.2255779
C-WEU-DEU,Zone_5A Cool Humid,q2,2085,sub,0.22558195
C-WEU-DEU,Zone_5A Cool Humid,q2,2085,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q2,2090,rur,0.2255825
C-WEU-DEU,Zone_5A Cool Humid,q2,2090,sub,0.22558425
C-WEU-DEU,Zone_5A Cool Humid,q2,2090,urb,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q2,2095,rur,0.2255847
C-WEU-DEU,Zone_5A Cool Humid,q2,2095,sub,0.22558535000000002
C-WEU-DEU,Zone_5A Cool Humid,q2,2095,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q2,2100,rur,0.2255856
C-WEU-DEU,Zone_5A Cool Humid,q2,2100,sub,0.22558579999999998
C-WEU-DEU,Zone_5A Cool Humid,q2,2100,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2015,rur,0.2252553
C-WEU-DEU,Zone_5A Cool Humid,q3,2015,sub,0.2254206
C-WEU-DEU,Zone_5A Cool Humid,q3,2015,urb,0.22558589999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2020,rur,0.2254687
C-WEU-DEU,Zone_5A Cool Humid,q3,2020,sub,0.22552735
C-WEU-DEU,Zone_5A Cool Humid,q3,2020,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2025,rur,0.2255211
C-WEU-DEU,Zone_5A Cool Humid,q3,2025,sub,0.22555355
C-WEU-DEU,Zone_5A Cool Humid,q3,2025,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2030,rur,0.2255608
C-WEU-DEU,Zone_5A Cool Humid,q3,2030,sub,0.22557340000000003
C-WEU-DEU,Zone_5A Cool Humid,q3,2030,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2035,rur,0.2255736
C-WEU-DEU,Zone_5A Cool Humid,q3,2035,sub,0.2255798
C-WEU-DEU,Zone_5A Cool Humid,q3,2035,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2040,rur,0.2255827
C-WEU-DEU,Zone_5A Cool Humid,q3,2040,sub,0.22558435
C-WEU-DEU,Zone_5A Cool Humid,q3,2040,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2045,rur,0.2255848
C-WEU-DEU,Zone_5A Cool Humid,q3,2045,sub,0.2255854
C-WEU-DEU,Zone_5A Cool Humid,q3,2045,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2050,rur,0.2255855
C-WEU-DEU,Zone_5A Cool Humid,q3,2050,sub,0.22558575
C-WEU-DEU,Zone_5A Cool Humid,q3,2050,urb,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2055,rur,0.2255859
C-WEU-DEU,Zone_5A Cool Humid,q3,2055,sub,0.22558594999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2055,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2060,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2060,sub,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2060,urb,0.22558600000000004
C-WEU-DEU,Zone_5A Cool Humid,q3,2065,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2065,sub,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2065,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2070,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2070,sub,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2070,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2075,rur,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2075,sub,0.22558600000000004
C-WEU-DEU,Zone_5A Cool Humid,q3,2075,urb,0.22558600000000004
C-WEU-DEU,Zone_5A Cool Humid,q3,2080,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2080,sub,0.22558600000000004
C-WEU-DEU,Zone_5A Cool Humid,q3,2080,urb,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2085,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2085,sub,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2085,urb,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2090,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2090,sub,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2090,urb,0.22558599999999998
C-WEU-DEU,Zone_5A Cool Humid,q3,2095,rur,0.225586
C-WEU-DEU,Zone_5A Cool Humid,q3,2095,sub,0.22558600000000004
