region_bld,region_nuts,year,urt,value
C-EEU-BGR,C-EEU-BGR-BG325,2030,rur,0.1919602797738013
C-EEU-BGR,C-EEU-BGR-BG325,2030,urb,0.8080397202261987
C-EEU-BGR,C-EEU-BGR-BG325,2035,rur,0.17752024122106586
C-EEU-BGR,C-EEU-BGR-BG325,2035,urb,0.8224797587789341
C-EEU-BGR,C-EEU-BGR-BG325,2040,rur,0.16474809328641915
C-EEU-BGR,C-EEU-BGR-BG325,2040,urb,0.8352519067135808
C-EEU-BGR,C-EEU-BGR-BG325,2045,rur,0.1533865976715987
C-EEU-BGR,C-EEU-BGR-BG325,2045,urb,0.8466134023284013
C-EEU-BGR,C-EEU-BGR-BG325,2050,rur,0.14322867128948635
C-EEU-BGR,C-EEU-BGR-BG325,2050,urb,0.8567713287105135
C-EEU-BGR,C-EEU-BGR-BG325,2055,rur,0.1341167006146623
C-EEU-BGR,C-EEU-BGR-BG325,2055,urb,0.8658832993853378
C-EEU-BGR,C-EEU-BGR-BG325,2060,rur,0.12589423004934225
C-EEU-BGR,C-EEU-BGR-BG325,2060,urb,0.8741057699506577
C-EEU-BGR,C-EEU-BGR-BG325,2065,rur,0.11845350800392919
C-EEU-BGR,C-EEU-BGR-BG325,2065,urb,0.8815464919960707
C-EEU-BGR,C-EEU-BGR-BG325,2070,rur,0.11169696818124301
C-EEU-BGR,C-EEU-BGR-BG325,2070,urb,0.8883030318187571
C-EEU-BGR,C-EEU-BGR-BG325,2075,rur,0.10553709482390707
C-EEU-BGR,C-EEU-BGR-BG325,2075,urb,0.8944629051760928
C-EEU-BGR,C-EEU-BGR-BG325,2080,rur,0.09989631146369804
C-EEU-BGR,C-EEU-BGR-BG325,2080,urb,0.900103688536302
C-EEU-BGR,C-EEU-BGR-BG325,2085,rur,0.09472592686551133
C-EEU-BGR,C-EEU-BGR-BG325,2085,urb,0.9052740731344886
C-EEU-BGR,C-EEU-BGR-BG325,2090,rur,0.08996795022794125
C-EEU-BGR,C-EEU-BGR-BG325,2090,urb,0.9100320497720586
C-EEU-BGR,C-EEU-BGR-BG325,2095,rur,0.0855741059919173
C-EEU-BGR,C-EEU-BGR-BG325,2095,urb,0.9144258940080827
C-EEU-BGR,C-EEU-BGR-BG325,2100,rur,0.08151528458090564
C-EEU-BGR,C-EEU-BGR-BG325,2100,urb,0.9184847154190943
C-EEU-BGR,C-EEU-BGR-BG331,2020,rur,0.22704223411527255
C-EEU-BGR,C-EEU-BGR-BG331,2020,urb,0.7729577658847274
C-EEU-BGR,C-EEU-BGR-BG331,2025,rur,0.2083475232476826
C-EEU-BGR,C-EEU-BGR-BG331,2025,urb,0.7916524767523173
C-EEU-BGR,C-EEU-BGR-BG331,2030,rur,0.19196027977380134
C-EEU-BGR,C-EEU-BGR-BG331,2030,urb,0.8080397202261986
C-EEU-BGR,C-EEU-BGR-BG331,2035,rur,0.17752024122106644
C-EEU-BGR,C-EEU-BGR-BG331,2035,urb,0.8224797587789335
C-EEU-BGR,C-EEU-BGR-BG331,2040,rur,0.16474809328641954
C-EEU-BGR,C-EEU-BGR-BG331,2040,urb,0.8352519067135804
C-EEU-BGR,C-EEU-BGR-BG331,2045,rur,0.15338659767159954
C-EEU-BGR,C-EEU-BGR-BG331,2045,urb,0.8466134023284004
C-EEU-BGR,C-EEU-BGR-BG331,2050,rur,0.14322867128948663
C-EEU-BGR,C-EEU-BGR-BG331,2050,urb,0.8567713287105133
C-EEU-BGR,C-EEU-BGR-BG331,2055,rur,0.1341167006146623
C-EEU-BGR,C-EEU-BGR-BG331,2055,urb,0.8658832993853377
C-EEU-BGR,C-EEU-BGR-BG331,2060,rur,0.1258942300493431
