region_gea,mat,tenr,year,value
WEU,perm,own,2100,0.7575288529999998
WEU,perm,rent,2015,0.24247114699999997
WEU,perm,rent,2020,0.24247114699999997
WEU,perm,rent,2025,0.24247114699999997
WEU,perm,rent,2030,0.24247114699999997
WEU,perm,rent,2035,0.24247114699999997
WEU,perm,rent,2040,0.24247114699999997
WEU,perm,rent,2045,0.24247114699999997
WEU,perm,rent,2050,0.24247114699999997
WEU,perm,rent,2055,0.24247114699999997
WEU,perm,rent,2060,0.24247114699999997
WEU,perm,rent,2065,0.24247114699999997
WEU,perm,rent,2070,0.24247114699999997
WEU,perm,rent,2075,0.24247114699999997
WEU,perm,rent,2080,0.24247114699999997
WEU,perm,rent,2085,0.24247114699999997
WEU,perm,rent,2090,0.24247114699999997
WEU,perm,rent,2095,0.24247114699999997
WEU,perm,rent,2100,0.24247114699999997
WEU,sub,own,2015,1.0
WEU,sub,own,2020,1.0
WEU,sub,own,2025,1.0
WEU,sub,own,2030,1.0
WEU,sub,own,2035,1.0
WEU,sub,own,2040,1.0
WEU,sub,own,2045,1.0
WEU,sub,own,2050,1.0
WEU,sub,own,2055,1.0
WEU,sub,own,2060,1.0
WEU,sub,own,2065,1.0
WEU,sub,own,2070,1.0
