region_bld,region_nuts,urt,clim,value
C-EEU-POL,C-EEU-POL-PL637,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL638,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL638,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL711,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL711,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL712,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL712,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL713,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL713,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL714,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL714,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL715,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL715,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL721,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL721,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL722,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL722,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL811,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL811,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL812,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL812,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL814,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL814,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL815,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL815,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL821,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL821,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL822,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL822,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL823,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL823,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL824,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL824,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL841,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL841,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL842,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL842,urb,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL843,rur,Zone_5A Cool Humid,1
C-EEU-POL,C-EEU-POL-PL843,urb,Zone_5A Cool Humid,1
