region_bld,region_nuts,clim,arch,urt,value
C-EEU-BGR,C-EEU-BGR-BG424,Zone_5A Cool Humid,mfh,rur,10838.0
C-EEU-BGR,C-EEU-BGR-BG424,Zone_5A Cool Humid,sfh,urb,5882.5
C-EEU-BGR,C-EEU-BGR-BG424,Zone_5A Cool Humid,sfh,rur,5882.5
C-EEU-BGR,C-EEU-BGR-BG425,Zone_4A Mixed Humid,mfh,urb,6741.0
C-EEU-BGR,C-EEU-BGR-BG425,Zone_4A Mixed Humid,mfh,rur,6741.0
C-EEU-BGR,C-EEU-BGR-BG425,Zone_4A Mixed Humid,sfh,urb,8200.5
C-EEU-BGR,C-EEU-BGR-BG425,Zone_4A Mixed Humid,sfh,rur,8200.5
C-EEU-CZE,C-EEU-CZE-CZ010,Zone_5A Cool Humid,mfh,urb,43851.5
C-EEU-CZE,C-EEU-CZE-CZ010,Zone_5A Cool Humid,mfh,rur,43851.5
C-EEU-CZE,C-EEU-CZE-CZ010,Zone_5A Cool Humid,sfh,urb,2962.0
C-EEU-CZE,C-EEU-CZE-CZ010,Zone_5A Cool Humid,sfh,rur,2962.0
C-EEU-CZE,C-EEU-CZE-CZ020,Zone_5A Cool Humid,mfh,urb,28928.5
C-EEU-CZE,C-EEU-CZE-CZ020,Zone_5A Cool Humid,mfh,rur,28928.5
C-EEU-CZE,C-EEU-CZE-CZ020,Zone_5A Cool Humid,sfh,urb,31179.0
C-EEU-CZE,C-EEU-CZE-CZ020,Zone_5A Cool Humid,sfh,rur,31179.0
C-EEU-CZE,C-EEU-CZE-CZ031,Zone_5A Cool Humid,mfh,urb,18307.0
C-EEU-CZE,C-EEU-CZE-CZ031,Zone_5A Cool Humid,mfh,rur,18307.0
C-EEU-CZE,C-EEU-CZE-CZ031,Zone_5A Cool Humid,sfh,urb,19224.0
C-EEU-CZE,C-EEU-CZE-CZ031,Zone_5A Cool Humid,sfh,rur,19224.0
C-EEU-CZE,C-EEU-CZE-CZ032,Zone_5A Cool Humid,mfh,urb,15268.5
C-EEU-CZE,C-EEU-CZE-CZ032,Zone_5A Cool Humid,mfh,rur,15268.5
C-EEU-CZE,C-EEU-CZE-CZ032,Zone_5A Cool Humid,sfh,urb,12391.0
C-EEU-CZE,C-EEU-CZE-CZ032,Zone_5A Cool Humid,sfh,rur,12391.0
C-EEU-CZE,C-EEU-CZE-CZ041,Zone_5A Cool Humid,mfh,urb,9144.5
C-EEU-CZE,C-EEU-CZE-CZ041,Zone_5A Cool Humid,mfh,rur,9144.5
C-EEU-CZE,C-EEU-CZE-CZ041,Zone_5A Cool Humid,sfh,urb,2464.0
C-EEU-CZE,C-EEU-CZE-CZ041,Zone_5A Cool Humid,sfh,rur,2464.0
C-EEU-CZE,C-EEU-CZE-CZ042,Zone_5A Cool Humid,mfh,urb,15616.0
C-EEU-CZE,C-EEU-CZE-CZ042,Zone_5A Cool Humid,mfh,rur,15616.0
C-EEU-CZE,C-EEU-CZE-CZ042,Zone_5A Cool Humid,sfh,urb,8975.0
C-EEU-CZE,C-EEU-CZE-CZ042,Zone_5A Cool Humid,sfh,rur,8975.0
C-EEU-CZE,C-EEU-CZE-CZ051,Zone_5A Cool Humid,mfh,urb,11035.0
C-EEU-CZE,C-EEU-CZE-CZ051,Zone_5A Cool Humid,mfh,rur,11035.0
C-EEU-CZE,C-EEU-CZE-CZ051,Zone_5A Cool Humid,sfh,urb,8723.5
C-EEU-CZE,C-EEU-CZE-CZ051,Zone_5A Cool Humid,sfh,rur,8723.5
C-EEU-CZE,C-EEU-CZE-CZ052,Zone_5A Cool Humid,mfh,urb,15111.0
C-EEU-CZE,C-EEU-CZE-CZ052,Zone_5A Cool Humid,mfh,rur,15111.0
C-EEU-CZE,C-EEU-CZE-CZ052,Zone_5A Cool Humid,sfh,urb,11804.5
C-EEU-CZE,C-EEU-CZE-CZ052,Zone_5A Cool Humid,sfh,rur,11804.5
C-EEU-CZE,C-EEU-CZE-CZ053,Zone_5A Cool Humid,mfh,urb,12340.0
C-EEU-CZE,C-EEU-CZE-CZ053,Zone_5A Cool Humid,mfh,rur,12340.0
C-EEU-CZE,C-EEU-CZE-CZ053,Zone_5A Cool Humid,sfh,urb,11088.5
C-EEU-CZE,C-EEU-CZE-CZ053,Zone_5A Cool Humid,sfh,rur,11088.5
C-EEU-CZE,C-EEU-CZE-CZ063,Zone_5A Cool Humid,mfh,urb,12263.0
C-EEU-CZE,C-EEU-CZE-CZ063,Zone_5A Cool Humid,mfh,rur,12263.0
C-EEU-CZE,C-EEU-CZE-CZ063,Zone_5A Cool Humid,sfh,urb,13601.5
C-EEU-CZE,C-EEU-CZE-CZ063,Zone_5A Cool Humid,sfh,rur,13601.5
C-EEU-CZE,C-EEU-CZE-CZ064,Zone_5A Cool Humid,mfh,urb,24832.5
