region_bld,region_gea,region_nuts,urt,clim,mat,arch,yr_con,bld_age,value
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.09958122586610105
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.026866808070919672
C-EEU-HRV,EEU,C-EEU-HRV-HR021,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.02490890302931419
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.046782273603082854
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.09125240847784201
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.41048169556840075
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.29776493256262043
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.10447013487475915
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.025895953757225434
C-EEU-HRV,EEU,C-EEU-HRV-HR022,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.023352601156069363
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.06025025711347275
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.08514741172437436
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.37191463832704835
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.30716489544052106
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.1212718546451834
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.029225231402125473
C-EEU-HRV,EEU,C-EEU-HRV-HR023,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.025025711347274597
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.04193334332255924
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.08110537919815057
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.37607294988976175
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.31389001862277116
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.12573581351542265
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,2015,p3,0.030973735471027677
C-EEU-HRV,EEU,C-EEU-HRV-HR024,urb,Zone_4A Mixed Humid,perm,mfh,2020,p3,0.030288759980306956
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,1945,p1,0.08336988117701055
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,1960,p2,0.07381304503034321
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,1980,p2,0.388811260135652
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,2000,p3,0.2902748737824468
C-EEU-HRV,EEU,C-EEU-HRV-HR025,urb,Zone_4A Mixed Humid,perm,mfh,2010,p3,0.10969452802284665
