index,region_bld,urt,arch,mat,year,value
255,C-EEU-EST,urb,mfh,perm,2080,30.09382236941215
256,C-EEU-EST,urb,mfh,perm,2075,29.509318380707185
257,C-EEU-EST,urb,mfh,perm,2070,28.854559852298568
258,C-EEU-EST,urb,mfh,perm,2065,28.124921837598958
259,C-EEU-EST,urb,mfh,perm,2095,31.479833824943608
260,C-EEU-EST,urb,mfh,perm,2060,27.316780472749183
261,C-EEU-EST,urb,mfh,perm,2050,25.4582267712498
262,C-EEU-EST,urb,mfh,perm,2045,24.40963211123376
263,C-EEU-EST,urb,mfh,perm,2040,23.286955914306944
264,C-EEU-EST,urb,mfh,perm,2035,22.09790211920156
265,C-EEU-EST,urb,mfh,perm,2030,20.853120339672476
266,C-EEU-EST,urb,mfh,perm,2025,19.56602094193776
267,C-EEU-EST,urb,mfh,perm,2055,26.427968286321082
268,C-EEU-EST,urb,mfh,perm,2100,31.837952361841133
269,C-EEU-EST,urb,sfh,perm,2015,25.094249150353537
270,C-EEU-EST,urb,sfh,perm,2020,27.05558931541874
271,C-EEU-EST,urb,sfh,perm,2095,46.66299097702955
272,C-EEU-EST,urb,sfh,perm,2090,46.060640307504706
273,C-EEU-EST,urb,sfh,perm,2085,45.37858349233121
274,C-EEU-EST,urb,sfh,perm,2080,44.608487116383856
275,C-EEU-EST,urb,sfh,perm,2075,43.74206881043571
276,C-EEU-EST,urb,sfh,perm,2070,42.771511227987155
277,C-EEU-EST,urb,sfh,perm,2065,41.68995875439547
278,C-EEU-EST,urb,sfh,perm,2060,40.49203968330748
279,C-EEU-EST,urb,sfh,perm,2055,39.17454115186442
280,C-EEU-EST,urb,sfh,perm,2050,37.73707996075523
281,C-EEU-EST,urb,sfh,perm,2045,36.18273366040131
282,C-EEU-EST,urb,sfh,perm,2040,34.518575271579465
283,C-EEU-EST,urb,sfh,perm,2035,32.75602446445503
284,C-EEU-EST,urb,sfh,perm,2030,30.91086730759971
285,C-EEU-EST,urb,sfh,perm,2025,29.00298215067009
286,C-EEU-EST,urb,mfh,perm,2020,18.25226883090014
287,C-EEU-EST,urb,mfh,perm,2015,16.929107559191984
288,C-EEU-EST,urb,sfh,perm,2100,47.193835007991716
289,C-EEU-EST,rur,sfh,perm,2095,65.5355360362597
290,C-EEU-EST,rur,sfh,perm,2015,35.24345600361176
291,C-EEU-EST,rur,sfh,perm,2020,37.99804751983644
292,C-EEU-EST,rur,sfh,perm,2025,40.73305079886313
293,C-EEU-EST,rur,sfh,perm,2030,43.412567774458545
294,C-EEU-EST,rur,sfh,perm,2035,46.00398681583933
295,C-EEU-EST,rur,sfh,perm,2040,48.479389903329015
296,C-EEU-EST,rur,mfh,perm,2100,44.71460638597457
297,C-EEU-EST,rur,sfh,perm,2045,50.816606394967216
298,C-EEU-EST,rur,sfh,perm,2055,55.01843108654881
299,C-EEU-EST,rur,sfh,perm,2060,56.86878338238877
300,C-EEU-EST,rur,sfh,perm,2065,58.55119307812507
301,C-EEU-EST,rur,sfh,perm,2070,60.07017245823093
302,C-EEU-EST,rur,sfh,perm,2075,61.433265780970004
303,C-EEU-EST,rur,sfh,perm,2100,66.28107650403383
304,C-EEU-EST,rur,sfh,perm,2050,52.99959800880987
305,C-EEU-EST,rur,mfh,perm,2095,44.21164912179806
306,C-EEU-EST,rur,sfh,perm,2080,62.65010137001081
307,C-EEU-EST,rur,mfh,perm,2085,42.9947152810616
308,C-EEU-EST,rur,sfh,perm,2090,64.6895685321933
309,C-EEU-EST,rur,mfh,perm,2090,43.640941678000075
310,C-EEU-EST,rur,mfh,perm,2020,25.634280972254583
311,C-EEU-EST,rur,mfh,perm,2025,27.47937163217394
312,C-EEU-EST,rur,mfh,perm,2030,29.287030061184932
313,C-EEU-EST,rur,mfh,perm,2035,31.035255784858872
314,C-EEU-EST,rur,mfh,perm,2040,32.70521470104879
315,C-EEU-EST,rur,mfh,perm,2045,34.28195002855848
