region_bld,region_nuts,urt,clim,year,value
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2065,0.3782633635416667
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2065,0.27344584687499995
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2065,0.13596884583333332
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2070,0.38082740952380956
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2070,0.27388548571428567
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2070,0.13599341904761905
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2075,0.3824674441964286
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2075,0.27410987276785703
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2075,0.1359865446428571
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2080,0.3835110833333334
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2080,0.27428075
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2080,0.13602866666666666
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2085,0.38428594270833344
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2085,0.274559859375
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2085,0.1362002291666667
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2090,0.3851196380952382
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2090,0.2751089428571429
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2090,0.13658167619047623
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2095,0.3863397852678571
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2095,0.27608974241071427
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2095,0.13725345178571427
C-WEU-LUX,C-WEU-LUX-LU000,rur,Zone_5A Cool Humid,2100,0.388274
C-WEU-LUX,C-WEU-LUX-LU000,sub,Zone_5A Cool Humid,2100,0.277664
C-WEU-LUX,C-WEU-LUX-LU000,urb,Zone_5A Cool Humid,2100,0.138296
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2010,0.027723
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2010,0.065133
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2010,0.275
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2015,0.031178813541666666
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2015,0.07205479895833335
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2015,0.3004826229166667
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2020,0.03376073333333334
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2020,0.07727918095238097
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2020,0.3197233904761905
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2025,0.03553828645833334
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2025,0.08096772247023809
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2025,0.33335721279761904
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2030,0.036581
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2030,0.083282
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2030,0.342019
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2035,0.036958401041666665
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2035,0.0843835900297619
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2035,0.3463436622023809
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2040,0.03674001666666667
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2040,0.08443406904761903
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2040,0.3469661095238095
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2045,0.03599537395833333
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2045,0.08359501354166667
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2045,0.34452125208333334
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2050,0.034794
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2050,0.082028
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2050,0.339644
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2055,0.033205421875
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2055,0.07989460491071426
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2055,0.33296926339285704
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2060,0.03129916666666667
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2060,0.07735640476190475
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2060,0.3251319523809524
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2065,0.02914476145833333
C-WEU-MLT,C-WEU-MLT-MT001,sub,Zone_3A Warm Humid,2065,0.07457497604166664
C-WEU-MLT,C-WEU-MLT-MT001,urb,Zone_3A Warm Humid,2065,0.31676697708333323
C-WEU-MLT,C-WEU-MLT-MT001,rur,Zone_3A Warm Humid,2070,0.026811733333333334
