,year,region_bld,clim,arch,urt,value
176,2015,C-WEU-GRC,Zone_3A Warm Humid,mfh,rur,0.453
177,2015,C-WEU-GRC,Zone_3A Warm Humid,mfh,urb,0.234
178,2015,C-WEU-GRC,Zone_3A Warm Humid,sfh,rur,0.518
179,2015,C-WEU-GRC,Zone_3A Warm Humid,sfh,urb,0.422
180,2015,C-WEU-GRC,Zone_4A Mixed Humid,mfh,rur,0.337
181,2015,C-WEU-GRC,Zone_4A Mixed Humid,mfh,urb,0.262
182,2015,C-WEU-GRC,Zone_4A Mixed Humid,sfh,rur,0.443
183,2015,C-WEU-GRC,Zone_4A Mixed Humid,sfh,urb,0.402
184,2015,C-WEU-GRC,Zone_4C Mixed Marine,mfh,urb,0.22
185,2015,C-WEU-GRC,Zone_4C Mixed Marine,sfh,urb,0.327
186,2015,C-WEU-GRC,Zone_5A Cool Humid,mfh,rur,0.343
187,2015,C-WEU-GRC,Zone_5A Cool Humid,mfh,urb,0.313
188,2015,C-WEU-GRC,Zone_5A Cool Humid,sfh,rur,0.401
189,2015,C-WEU-GRC,Zone_5A Cool Humid,sfh,urb,0.375
190,2015,C-WEU-GRC,Zone_5C Cool Marine,mfh,urb,0.376
191,2015,C-WEU-GRC,Zone_5C Cool Marine,sfh,urb,0.401
192,2015,C-WEU-IRL,Zone_4A Mixed Humid,mfh,rur,0.208
193,2015,C-WEU-IRL,Zone_4A Mixed Humid,sfh,rur,0.148
194,2015,C-WEU-IRL,Zone_5A Cool Humid,mfh,rur,0.267
195,2015,C-WEU-IRL,Zone_5A Cool Humid,mfh,urb,0.134
196,2015,C-WEU-IRL,Zone_5A Cool Humid,sfh,rur,0.154
197,2015,C-WEU-IRL,Zone_5A Cool Humid,sfh,urb,0.068
198,2015,C-WEU-ITA,Zone_3A Warm Humid,mfh,rur,0.337
199,2015,C-WEU-ITA,Zone_3A Warm Humid,mfh,urb,0.269
200,2015,C-WEU-ITA,Zone_3A Warm Humid,sfh,rur,0.357
201,2015,C-WEU-ITA,Zone_3A Warm Humid,sfh,urb,0.367
202,2015,C-WEU-ITA,Zone_4A Mixed Humid,mfh,rur,0.344
203,2015,C-WEU-ITA,Zone_4A Mixed Humid,mfh,urb,0.205
204,2015,C-WEU-ITA,Zone_4A Mixed Humid,sfh,rur,0.34
205,2015,C-WEU-ITA,Zone_4A Mixed Humid,sfh,urb,0.241
206,2015,C-WEU-ITA,Zone_4C Mixed Marine,mfh,rur,0.461
207,2015,C-WEU-ITA,Zone_4C Mixed Marine,mfh,urb,0.322
208,2015,C-WEU-ITA,Zone_4C Mixed Marine,sfh,rur,0.511
209,2015,C-WEU-ITA,Zone_4C Mixed Marine,sfh,urb,0.402
210,2015,C-WEU-ITA,Zone_5A Cool Humid,mfh,urb,0.239
